Year,Champions League,Europa League
2019,Liverpool,Chelsea
2018,"
Real Madrid",Atletico Madrid
2017,"
Real Madrid",Manchester United
2016,"
Real Madrid",Sevilla  
2015,"
Barcelona",Sevilla  
2014,"
Real Madrid",Sevilla  
2013,"
Bayern Munich",Chelsea  
2012,"
Chelsea",Atletico Madrid
2011,"
Barcelona",Porto    
2010,"
Inter Milan",Atletico Madrid
2009,"
Barcelona",Shakhtar Donetsk
2008,"
Manchester United",Zenit St Petersburg         
2007,"
AC Milan",Sevilla  
2006,"
Barcelona",Sevilla  
2005,"
Liverpool",CSKA Moscow
2004,"
FC Porto",Valencia 
2003,"
AC Milan",Porto    
2002,"
Real Madrid",Feyenoord
2001,"
Bayern Munich",Liverpool
2000,"
Real Madrid",Galatasaray
1999,"
Manchester United",Parma    
1998,"
Real Madrid",Inter Milan
1997,"
Borussia Dortmund",Schalke 04
1996,"
Juventus",Bayern Munich
1995,"
Ajax",Parma    
1994,"
AC Milan",Inter Milan
1993,"
Marseille",Juventus 
1992,"
Barcelona",Ajax
1991,"
Red Star Belgrade",Inter Milan
1990,"
AC Milan",Juventus 
1989,"
AC Milan",Napoli   
1988,"
PSV Eindhoven",Bayer Leverkusen
1987,"
FC Porto",IFK Gothenburg
1986,"
Steaua București","
Real Madrid"
1985,"
Juventus","
Real Madrid"
1984,"
Liverpool",Tottenham Hotspur
1983,"
Hamburg",Anderlecht
1982,"
Aston Villa",IFK Gothenburg
1981,"
Liverpool",Ipswich Town
1980,"
Nottingham Forest",Eintracht Frankfurt
1979,"
Nottingham Forest",Borussia Moenchengladbach    
1978,"
Liverpool",PSV Eindhoven
1977,"
Liverpool",Juventus 
1976,"
Bayern Munich",Liverpool
1975,"
Bayern Munich",Borussia Moenchengladbach    
1974,"
Bayern Munich",Feyenoord
1973,"
Ajax",Liverpool
1972,"
Ajax",Tottenham Hotspur
1971,"
Ajax",
1970,"
Feyenoord",
1969,"
AC Milan",
1968,"
Manchester United",
1967,"
Celtic",
1966,"
Real Madrid",
1965,"
Inter Milan",
1964,"
Inter Milan",
1963,AC Milan,
1962,"
Benfica",
1961,"
Benfica",
1960,"
Real Madrid",
1959,"
Real Madrid",
1958,"
Real Madrid",
1957,"
Real Madrid",
1956,"
Real Madrid",
1955,,
1954,,
1953,,
1952,,
1951,,
1950,,
1949,,
1948,,
1947,,
1946,,
1945,,
1944,,
1943,,
1942,,
1941,,
1940,,
1939,,
1938,,
1937,,
1936,,
1935,,
1934,,
1933,,
1932,,
1931,,
1930,,
1929,,
1928,,
1927,,
1926,,
1925,,
1924,,
1923,,
1922,,
1921,,
1920,,
1919,,
1918,,
1917,,
1916,,
1915,,
1914,,
1913,,
1912,,
1911,,
1910,,
1909,,
1908,,
1907,,
1906,,
1905,,
1904,,
1903,,
1902,,
1901,,
1900,,
1899,,
1898,,
1897,,
1896,,
1895,,
1894,,
1893,,
1892,,
1891,,
1890,,
1889,,
,,
,,
