year,team,city,isCapital
2019,FK Partizani,Tirana,Yes
2018,KF Skënderbeu,Korce,No
2017,FK Kukësi,Kukes,No
2016,KF Skënderbeu,Korce,No
2015,KF Skënderbeu,Korce,No
2014,KF Skënderbeu,Korce,No
2013,KF Skënderbeu,Korce,No
2012,KF Skënderbeu,Korce,No
2011,KF Skënderbeu,Korce,No
2010,FK Dinamo Tirana,Tirana,Yes
2009,KF Tiranë,Tirana,Yes
2008,FK Dinamo Tirana,Tirana,Yes
2007,KF Tiranë,Tirana,Yes
2006,KF Elbasani,Elbasan,No
2005,KF Tiranë,Tirana,Yes
2004,KF Tiranë,Tirana,Yes
2003,KF Tiranë,Tirana,Yes
2002,FK Dinamo Tirana,Tirana,Yes
2001,FK Vllaznia,Shkoder,No
2000,KF Tiranë,Tirana,Yes
1999,KF Tiranë,Tirana,Yes
1998,FK Vllaznia,Shkoder,No
1997,KF Tiranë,Tirana,Yes
1996,KF Tiranë,Tirana,Yes
1995,KF Tiranë,Tirana,Yes
1994,KF Teuta Durrës,Durrës,No
1993,FK Partizani,Tirana,Yes
1992,FK Vllaznia,Shkoder,No
1991,KS Flamurtari Vlorë,Vlorë,No
1990,Dinamo Tirana,Tirana,Yes
1989,KS 17 Nentori Tirana,Tirana,Yes
1988,KS 17 Nentori Tirana,Tirana,Yes
1987,FK Partizani,Tirana,Yes
1986,Dinamo Tirana,Tirana,Yes
1985,KS 17 Nentori Tirana,Tirana,Yes
1984,KS Labinoti Elbasan,Elbasan,No
1983,FK Vllaznia,Shkoder,No
1982,KS 17 Nentori Tirana,Tirana,Yes
1981,FK Partizani,Tirana,Yes
1980,Dinamo Tirana,Tirana,Yes
1979,FK Partizani,Tirana,Yes
1978,FK Vllaznia,Shkoder,No
1977,Dinamo Tirana,Tirana,Yes
1976,Dinamo Tirana,Tirana,Yes
1975,Dinamo Tirana,Tirana,Yes
1974,FK Vllaznia,Shkoder,No
1973,Dinamo Tirana,Tirana,Yes
1972,FK Vllaznia,Shkoder,No
1971,FK Partizani,Tirana,Yes
1970,KS 17 Nentori Tirana,Tirana,Yes
1968,KS 17 Nentori Tirana,Tirana,Yes
1967,Dinamo Tirana,Tirana,Yes
1966,KS 17 Nentori Tirana,Tirana,Yes
1965,KS 17 Nentori Tirana,Tirana,Yes
1964,FK Partizani,Tirana,Yes
1963,FK Partizani,Tirana,Yes
1961,FK Partizani,Tirana,Yes
1960,Dinamo Tirana,Tirana,Yes
1959,FK Partizani,Tirana,Yes
1958,FK Partizani,Tirana,Yes
1957,FK Partizani,Tirana,Yes
1956,Dinamo Tirana,Tirana,Yes
1955,Dinamo Tirana,Tirana,Yes
1954,FK Partizani,Tirana,Yes
1953,Dinamo Tirana,Tirana,Yes
1952,Dinamo Tirana,Tirana,Yes
1951,Dinamo Tirana,Tirana,Yes
1950,FK Dinamo Tirana,Tirana,Yes
1949,FK Partizani,Tirana,Yes
1948,FK Partizani,Tirana,Yes
1947,FK Partizani,Tirana,Yes
1946,FK Vllaznia,Shkoder,No
1945,FK Vllaznia,Shkoder,No
1937,KF Tiranë,Tirana,Yes
1936,KF Tiranë,Tirana,Yes
1934,KF Tiranë,Tirana,Yes
1933,KF Skënderbeu,Korce,No
1932,KF Tiranë,Tirana,Yes
1931,KF Tiranë,Tirana,Yes
1930,KF Tiranë,Tirana,Yes
