year,team,city,isCapital
2019,Ararat-Armenia,Yerevan,Yes
2018,FC Alashkert,Yerevan,Yes
2017,FC Alashkert,Yerevan,Yes
2016,FC Alashkert,Yerevan,Yes
2015,Pyunik FC,Yerevan,Yes
2014,FC Banants,Yerevan,Yes
2013,Shirak FC,Gyumri,No
2012,Ulisses FC,Yerevan,Yes
2011,Pyunik FC,Yerevan,Yes
2010,Pyunik FC,Yerevan,Yes
2009,Pyunik FC,Yerevan,Yes
2008,Pyunik FC,Yerevan,Yes
2007,Pyunik FC,Yerevan,Yes
2006,Pyunik FC,Yerevan,Yes
2005,Pyunik FC,Yerevan,Yes
2004,Pyunik FC,Yerevan,Yes
2003,Pyunik FC,Yerevan,Yes
2002,Pyunik FC,Yerevan,Yes
2001,Araks Ararat,Ararat,No
2000,Shirak FC,Gyumri,No
1999,Tsement Ararat,Ararat,No
1998,FK Yerevan,Yerevan,Yes
1998,Pyunik FC,Yerevan,Yes
1997,Pyunik FC,Yerevan,Yes
1996,FC Ararat,Ararat,No
1995,Shirak FC,Gyumri,No
1994,Shirak FC,Gyumri,No
1993,FC Ararat,Ararat,No
1992,Homenetmen Yerevan,Yerevan,Yes
1991,Shirak FC,Gyumri,No
