year,team,city,isCapital
2019,RB Salzburg,Salzburg,No
2018,RB Salzburg,Salzburg,No
2017,RB Salzburg,Salzburg,No
2016,RB Salzburg,Salzburg,No
2015,RB Salzburg,Salzburg,No
2014,RB Salzburg,Salzburg,No
2013,Austria Wien,Vienna,Yes
2012,RB Salzburg,Salzburg,No
2011,Sturm Graz,Graz,No
2010,RB Salzburg,Salzburg,No
2009,RB Salzburg,Salzburg,No
2008,Rapid Wien,Vienna,Yes
2007,RB Salzburg,Salzburg,No
2006,Austria Wien,Vienna,Yes
2005,Rapid Wien,Vienna,Yes
2004,Grazer AK,Graz,No
2003,Austria Wien,Vienna,Yes
2002,FC Tirol Innsbruck,Innsbruck,No
2001,FC Tirol Innsbruck,Innsbruck,No
2000,FC Tirol Innsbruck,Innsbruck,No
1999,Sturm Graz,Graz,No
1998,Sturm Graz,Graz,No
1997,SV Austria Salzburg,Salzburg,No
1996,Rapid Wien,Vienna,Yes
1995,SV Austria Salzburg,Salzburg,No
1994,SV Austria Salzburg,Salzburg,No
1993,Austria Wien,Vienna,Yes
1992,Austria Wien,Vienna,Yes
1991,Austria Wien,Vienna,Yes
1990,FC Tirol,Innsbruck,No
1989,FC Tirol,Innsbruck,No
1988,Rapid Wien,Vienna,Yes
1987,Rapid Wien,Vienna,Yes
1986,Austria Wien,Vienna,Yes
1985,Austria Wien,Vienna,Yes
1984,Austria Wien,Vienna,Yes
1983,Rapid Wien,Vienna,Yes
1982,Rapid Wien,Vienna,Yes
1981,Austria Wien,Vienna,Yes
1980,Austria Wien,Vienna,Yes
1979,Austria Wien,Vienna,Yes
1978,Austria Wien,Vienna,Yes
1977,SSW Innsbruck,Innsbruck,No
1976,Austria/WAC,Vienna,Yes
1975,SSW Innsbruck,Innsbruck,No
1974,SK VÖEST Linz,Linz,No
1973,SSW Innsbruck,Innsbruck,No
1972,SSW Innsbruck,Innsbruck,No
1971,FC Wacker Innsbruck,Innsbruck,No
1970,Austria Wien,Vienna,Yes
1969,Austria Wien,Vienna,Yes
1968,Rapid Wien,Vienna,Yes
1967,Rapid Wien,Vienna,Yes
1966,Admira Wien,Vienna,Yes
1965,Linzer ASK,Linz,No
1964,Rapid Wien,Vienna,Yes
1963,Austria Wien,Vienna,Yes
1962,Austria Wien,Vienna,Yes
1961,Austria Wien,Vienna,Yes
1960,Rapid Wien,Vienna,Yes
1959,Wiener Sport-Club,Vienna,Yes
1958,Wiener Sport-Club,Vienna,Yes
1957,Rapid Wien,Vienna,Yes
1956,Rapid Wien,Vienna,Yes
1955,First Vienna FC,Vienna,Yes
1954,Rapid Wien,Vienna,Yes
1953,Austria Wien,Vienna,Yes
1952,Rapid Wien,Vienna,Yes
1951,Rapid Wien,Vienna,Yes
1950,Austria Wien,Vienna,Yes
1949,Austria Wien,Vienna,Yes
1948,Rapid Wien,Vienna,Yes
1947,Wacker Wien,Vienna,Yes
1946,Rapid Wien,Vienna,Yes
1944,First Vienna FC,Vienna,Yes
1943,First Vienna FC,Vienna,Yes
1942,First Vienna FC,Vienna,Yes
1941,Rapid Wien,Vienna,Yes
1940,Rapid Wien,Vienna,Yes
1939,Admira Wien,Vienna,Yes
1938,Rapid Wien,Vienna,Yes
1937,Admira Wien,Vienna,Yes
1936,Admira Wien,Vienna,Yes
1935,Rapid Wien,Vienna,Yes
1934,Admira Wien,Vienna,Yes
1933,First Vienna FC,Vienna,Yes
1932,Admira Wien,Vienna,Yes
1931,First Vienna FC,Vienna,Yes
1930,Rapid Wien,Vienna,Yes
1929,Rapid Wien,Vienna,Yes
1928,Admira Wien,Vienna,Yes
1927,Admira Wien,Vienna,Yes
1926,Wiener Amateur-Sportverein,Vienna,Yes
1925,Hakoah Wien,Vienna,Yes
1924,Wiener Amateur-Sportverein,Vienna,Yes
1923,Rapid Wien,Vienna,Yes
1922,Wiener Sport-Club,Vienna,Yes
1921,Rapid Wien,Vienna,Yes
1920,Rapid Wien,Vienna,Yes
1919,Rapid Wien,Vienna,Yes
1918,Floridsdorfer AC,Vienna,Yes
1917,Rapid Wien,Vienna,Yes
1916,Rapid Wien,Vienna,Yes
1915,Wiener AC,Vienna,Yes
1914,Wiener AF,Vienna,Yes
1913,Rapid Wien,Vienna,Yes
1912,Rapid Wien,Vienna,Yes
