year,team,city,isCapital
2019,Qarabağ FK,Baku,Yes
2018,Qarabağ FK,Baku,Yes
2017,Qarabağ FK,Baku,Yes
2016,Qarabağ FK,Baku,Yes
2015,Qarabağ FK,Baku,Yes
2014,Qarabağ FK,Baku,Yes
2013,Neftçi PFK,Baku,Yes
2012,Neftçi PFK,Baku,Yes
2011,Neftçi PFK,Baku,Yes
2010,Inter Baku,Baku,Yes
2009,FK Baku,Baku,Yes
2008,Inter Baku,Baku,Yes
2007,Khazar Lankaran,Lankaran,No
2006,FK Baku,Baku,Yes
2005,Neftçi PFK,Baku,Yes
2004,Neftçi PFK,Baku,Yes
2001,Shamkir FK,Semkir,No
2000,Shamkir FK,Semkir,No
1999,FK Kapaz Gäncä,Ganja,No
1998,FK Kapaz Gäncä,Ganja,No
1997,Neftçi PFK,Baku,Yes
1996,Neftçi PFK,Baku,Yes
1995,FK Kapaz Gäncä,Ganja,No
1994,PFK Turan Tavuz,Tovuz,No
1993,Qarabağ FK,Baku,Yes
1992,Neftçi PFK,Baku,Yes
