year,team,city,isCapital
2018,BATE Borisov,Barysaw,No
2017,BATE Borisov,Barysaw,No
2016,BATE Borisov,Barysaw,No
2015,BATE Borisov,Barysaw,No
2014,BATE Borisov,Barysaw,No
2013,BATE Borisov,Barysaw,No
2012,BATE Borisov,Barysaw,No
2011,BATE Borisov,Barysaw,No
2010,BATE Borisov,Barysaw,No
2009,BATE Borisov,Barysaw,No
2008,BATE Borisov,Barysaw,No
2007,BATE Borisov,Barysaw,No
2006,BATE Borisov,Barysaw,No
2005,Shakhter Soligorsk,Soligorsk,No
2004,Dinamo Minsk,Minsk,Yes
2003,FK Gomel,Gomel,No
2002,BATE Borisov,Barysaw,No
2001,Belshina Bobruisk,Babruysk,No
2000,FK Slavia Mozyr,Mazyr,No
1999,BATE Borisov,Barysaw,No
1998,Dnepr Mogilev,Mogilev,No
1997,Dinamo Minsk,Minsk,Yes
1996,MPKC Mozyr,Mozyr,No
1995,Dinamo Minsk,Minsk,Yes
1994,Dinamo Minsk,Minsk,Yes
1993,Dinamo Minsk,Minsk,Yes
1992,Dinamo Minsk,Minsk,Yes
1991,FK Metallurg Molodechno,Molodechno,No
1990,Sputnik Minsk,Minsk,Yes
1989,Obuvshchik Lida,Lida,No
1988,Sputnik Minsk,Minsk,Yes
1987,Shinnik Bobruisk,Bobruisk,No
1986,Obuvshchik Lida,Lida,No
1985,Obuvshchik Lida,Lida,No
1984,FK Orbita,Minsk,Yes
1983,Obuvshchik Lida,Lida,No
1982,Torpedo Mogilev,Mogilev,No
1981,Torpedo-BelAZ Zhodino,Zhodino,No
1980,Torpedo-BelAZ Zhodino,Zhodino,No
1979,BATE Borisov,Barysaw,No
1978,Shinnik Bobruisk,Bobruisk,No
1977,Sputnik Minsk,Minsk,Yes
1976,BATE Borisov,Barysaw,No
1975,Dinamo Minsk,Minsk,Yes
1974,BATE Borisov,Barysaw,No
1973,Stroitel Bobruisk,Bobruisk,No
1972,Stroitel Bobruisk,Bobruisk,No
1971,Torpedo-BelAZ Zhodino,Zhodino,No
1970,Torpedo-BelAZ Zhodino,Zhodino,No
1969,Torpedo Minsk,Minsk,Yes
1968,Sputnik Minsk,Minsk,Yes
1967,Torpedo Minsk,Minsk,Yes
1966,Torpedo Minsk,Minsk,Yes
1965,Torpedo Minsk,Minsk,Yes
1964,Torpedo Minsk,Minsk,Yes
1963,Naroch Molodechno,Molodechno,No
1962,Torpedo Minsk,Minsk,Yes
1961,Volna Pinsk,Pinsk,No
1960,Sputnik Minsk,Minsk,Yes
1959,Minsk-Team,Minsk,Yes
1958,Spartak Bobruisk,Bobruisk,No
1957,Sputnik Minsk,Minsk,Yes
1956,Spartak Minsk,Minsk,Yes
1955,FSM Minsk,Minsk,Yes
1954,Volna Pinsk,Pinsk,No
1953,Dinamo Minsk,Minsk,Yes
1952,ODO Minsk,Minsk,Yes
1951,Dinamo Minsk,Minsk,Yes
1950,ODO Minsk,Minsk,Yes
1949,Torpedo Minsk,Minsk,Yes
1948,Traktor Minsk,,No
1947,Torpedo Minsk,Minsk,Yes
1946,ODO Minsk,Minsk,Yes
1945,Dinamo Minsk,Minsk,Yes
1940,DKA Minsk,Minsk,Yes
1939,Dinamo Minsk,Minsk,Yes
1938,Dinamo Minsk,Minsk,Yes
1937,Dinamo Minsk,Minsk,Yes
1936,BVO Brest,Brest,No
1935,BVO Brest,Brest,No
1934,BVO Brest,Brest,No
1928,Gomel-Team,Gomel,No
