year,team,city,isCapital
2019,KRC Genk,Genk,No
2018,Club Brugge KV,Bruges,No
2017,RSC Anderlecht,Brussels,Yes
2016,Club Brugge KV,Bruges,No
2015,KAA Gent,Ghent,No
2014,RSC Anderlecht,Brussels,Yes
2013,RSC Anderlecht,Brussels,Yes
2012,RSC Anderlecht,Brussels,Yes
2011,KRC Genk,Genk,No
2010,RSC Anderlecht,Brussels,Yes
2009,Standard Liège,Liege,No
2008,Standard Liège,Liege,No
2007,RSC Anderlecht,Brussels,Yes
2006,RSC Anderlecht,Brussels,Yes
2005,Club Brugge KV,Bruges,No
2004,RSC Anderlecht,Brussels,Yes
2003,Club Brugge KV,Bruges,No
2002,KRC Genk,Genk,No
2001,RSC Anderlecht,Brussels,Yes
2000,RSC Anderlecht,Brussels,Yes
1999,KRC Genk,Genk,No
1998,Club Brugge KV,Bruges,No
1997,Lierse SK,Lier,No
1996,Club Brugge KV,Bruges,No
1995,RSC Anderlecht,Brussels,Yes
1994,RSC Anderlecht,Brussels,Yes
1993,RSC Anderlecht,Brussels,Yes
1992,Club Brugge KV,Bruges,No
1991,RSC Anderlecht,Brussels,Yes
1990,Club Brugge KV,Bruges,No
1989,KV Mechelen,Mechelen,No
1988,Club Brugge KV,Bruges,No
1987,RSC Anderlecht,Brussels,Yes
1986,RSC Anderlecht,Brussels,Yes
1985,RSC Anderlecht,Brussels,Yes
1984,KSK Beveren,Beveren,No
1983,Standard Liège,Liege,No
1982,Standard Liège,Liege,No
1981,RSC Anderlecht,Brussels,Yes
1980,Club Brugge KV,Bruges,No
1979,KSK Beveren,Beveren,No
1978,Club Brugge KV,Bruges,No
1977,Club Brugge KV,Bruges,No
1976,Club Brugge KV,Bruges,No
1975,RWD Molenbeek,Brussels,Yes
1974,RSC Anderlecht,Brussels,Yes
1973,Club Brugge KV,Bruges,No
1972,RSC Anderlecht,Brussels,Yes
1971,Standard Liège,Liege,No
1970,Standard Liège,Liege,No
1969,Standard Liège,Liege,No
1968,RSC Anderlecht,Brussels,Yes
1967,RSC Anderlecht,Brussels,Yes
1966,RSC Anderlecht,Brussels,Yes
1965,RSC Anderlecht,Brussels,Yes
1964,RSC Anderlecht,Brussels,Yes
1963,Standard Liège,Liege,No
1962,RSC Anderlecht,Brussels,Yes
1961,Standard Liège,Liege,No
1960,Lierse SK,Lier,No
1959,RSC Anderlecht,Brussels,Yes
1958,Standard Liège,Liege,No
1957,Royal Antwerp FC,Antwerp,No
1956,RSC Anderlecht,Brussels,Yes
1955,RSC Anderlecht,Brussels,Yes
1954,RSC Anderlecht,Brussels,Yes
1953,RFC de Liège,Liege,No
1952,RFC de Liège,Liege,No
1951,RSC Anderlecht,Brussels,Yes
1950,RSC Anderlecht,Brussels,Yes
1949,RSC Anderlecht,Brussels,Yes
1948,KV Mechelen,Mechelen,No
1947,RSC Anderlecht,Brussels,Yes
1946,KV Mechelen,Mechelen,No
1944,Royal Antwerp FC,Antwerp,No
1943,KV Mechelen,Mechelen,No
1942,Lierse SK,Lier,No
1941,Lierse SK,Lier,No
1939,KFC Germinal Ekeren, Antwerp,No
1938,KFC Germinal Ekeren, Antwerp,No
1937,Daring Club de Bruxelles,Brussels,Yes
1936,Daring Club de Bruxelles,Brussels,Yes
1935,Union St. Gilloise,Brussels,Yes
1934,Union St. Gilloise,Brussels,Yes
1933,Union St. Gilloise,Brussels,Yes
1932,Lierse SK,Lier,No
1931,Royal Antwerp FC,Antwerp,No
1930,Cercle Sportif Brugeois,Bruges,No
1929,Royal Antwerp FC,Antwerp,No
1928,KFC Germinal Ekeren, Antwerp,No
1927,Cercle Sportif Brugeois,Bruges,No
1926,KFC Germinal Ekeren, Antwerp,No
1925,KFC Germinal Ekeren, Antwerp,No
1924,KFC Germinal Ekeren, Antwerp,No
1923,Union St. Gilloise,Brussels,Yes
1922,KFC Germinal Ekeren, Antwerp,No
1921,Daring Club de Bruxelles,Brussels,Yes
1920,FC Brugeois,Bruges,No
1914,Daring Club de Bruxelles,Brussels,Yes
1913,Union St. Gilloise,Brussels,Yes
1912,Daring Club de Bruxelles,Brussels,Yes
1911,Cercle Sportif Brugeois,Bruges,No
1910,Union St. Gilloise,Brussels,Yes
1909,Union St. Gilloise,Brussels,Yes
1908,RC Brussels,Brussels,Yes
1907,Union St. Gilloise,Brussels,Yes
1906,Union St. Gilloise,Brussels,Yes
1905,Union St. Gilloise,Brussels,Yes
1904,Union St. Gilloise,Brussels,Yes
1903,RC Brussels,Brussels,Yes
1902,RC Brussels,Brussels,Yes
1901,RC Brussels,Brussels,Yes
1900,RC Brussels,Brussels,Yes
1899,RFC de Liège,Liege,No
1898,RFC de Liège,Liege,No
1897,RC Brussels,Brussels,Yes
1896,RFC de Liège,Liege,No
