year,team,city,isCapital
2019,FK Sarajevo,Sarajevo,Yes
2018,Zrinjski Mostar,Mostar,No
2017,Zrinjski Mostar,Mostar,No
2016,Zrinjski Mostar,Mostar,No
2015,FK Sarajevo,Sarajevo,Yes
2014,Zrinjski Mostar,Mostar,No
2013,Željezničar Sarajevo,Sarajevo,Yes
2012,Željezničar Sarajevo,Sarajevo,Yes
2011,Borac Banja Luka,Banja luka,No
2010,Željezničar Sarajevo,Sarajevo,Yes
2009,Zrinjski Mostar,Mostar,No
2008,Modriča Maksima,Modrica,No
2007,FK Sarajevo,Sarajevo,Yes
2006,Široki Brijeg,Siroki brijeg,No
2005,Zrinjski Mostar,Mostar,No
2004,Široki Brijeg,Siroki brijeg,No
2003,Leotar Trebinje,Trebinje,No
2002,Željezničar Sarajevo,Sarajevo,Yes
2001,Željezničar Sarajevo,Sarajevo,Yes
2000,NK Brotnjo,Citluk,No
1999,FK Sarajevo,Sarajevo,Yes
1998,Željezničar Sarajevo,Sarajevo,Yes
1997,Čelik Zenica,Zenica,No
1996,Čelik Zenica,Zenica,No
1995,Čelik Zenica,Zenica,No
