year,team,city,isCapital
2019,PFC Ludogorets Razgrad,Razgrad,No
2018,PFC Ludogorets Razgrad,Razgrad,No
2017,PFC Ludogorets Razgrad,Razgrad,No
2016,PFC Ludogorets Razgrad,Razgrad,No
2015,PFC Ludogorets Razgrad,Razgrad,No
2014,PFC Ludogorets Razgrad,Razgrad,No
2013,PFC Ludogorets Razgrad,Razgrad,No
2012,PFC Ludogorets Razgrad,Razgrad,No
2011,PFC Litex Lovech,Lovech,No
2010,PFC Litex Lovech,Lovech,No
2009,Levski Sofia,Sofia,Yes
2008,CSKA Sofia,Sofia,Yes
2007,Levski Sofia,Sofia,Yes
2006,Levski Sofia,Sofia,Yes
2005,CSKA Sofia,Sofia,Yes
2004,Lokomotiv Plovdiv,Plovdiv,No
2003,CSKA Sofia,Sofia,Yes
2002,Levski Sofia,Sofia,Yes
2001,Levski Sofia,Sofia,Yes
2000,Levski Sofia,Sofia,Yes
1999,PFC Litex Lovech,Lovech,No
1998,PFC Litex Lovech,Lovech,No
1997,CSKA Sofia,Sofia,Yes
1996,Slavia Sofia,Sofia,Yes
1995,Levski Sofia,Sofia,Yes
1994,Levski Sofia,Sofia,Yes
1993,Levski Sofia,Sofia,Yes
1992,CSKA Sofia,Sofia,Yes
1991,Etar Tarnovo,Veliko Tarnovo,No
1990,CFKA Sofia,Sofia,Yes
1989,CFKA Sofia,Sofia,Yes
1988,Vitosha Sofia,Sofia,Yes
1987,Sredez Sofia,Sofia,Yes
1986,PFC Beroe,Stara Zagora,No
1985,Levski Sofia,Sofia,Yes
1984,Levski Sofia,Sofia,Yes
1983,CSKA Sofia,Sofia,Yes
1982,CSKA Sofia,Sofia,Yes
1981,CSKA Sofia,Sofia,Yes
1980,CSKA Sofia,Sofia,Yes
1979,Levski Sofia,Sofia,Yes
1978,Lokomotiv Sofia,Sofia,Yes
1977,Levski Sofia,Sofia,Yes
1976,CSKA Sofia,Sofia,Yes
1975,CSKA Sofia,Sofia,Yes
1974,Levski Sofia,Sofia,Yes
1973,CSKA Sofia,Sofia,Yes
1972,CSKA Sofia,Sofia,Yes
1971,CSKA Sofia,Sofia,Yes
1970,Levski Sofia,Sofia,Yes
1969,CSKA Sofia,Sofia,Yes
1968,Levski Sofia,Sofia,Yes
1967,Botev Plovdiv,Plovdiv,No
1966,CSKA Sofia,Sofia,Yes
1965,Levski Sofia,Sofia,Yes
1964,Lokomotiv Sofia,Sofia,Yes
1963,Spartak Plovdiv,Plovdiv,No
1962,CDNA Sofia,Sofia,Yes
1961,CDNA Sofia,Sofia,Yes
1960,CDNA Sofia,Sofia,Yes
1959,CDNA Sofia,Sofia,Yes
1958,CDNA Sofia,Sofia,Yes
1957,CDNA Sofia,Sofia,Yes
1956,CDNA Sofia,Sofia,Yes
1955,CDNA Sofia,Sofia,Yes
1954,CDNA Sofia,Sofia,Yes
1953,Dinamo Sofia,Sofia,Yes
1952,CDNA Sofia,Sofia,Yes
1951,NA Sofia,Sofia,Yes
1950,Dinamo Sofia,Sofia,Yes
1949,Levski Sofia,Sofia,Yes
1948,Septemvrijsko Sofia,Sofia,Yes
1947,Levski Sofia,Sofia,Yes
1946,Levski Sofia,Sofia,Yes
1945,Lokomotiv Sofia,Sofia,Yes
1943,Slavia Sofia,Sofia,Yes
1942,Levski Sofia,Sofia,Yes
1941,Slavia Sofia,Sofia,Yes
1940,Lokomotiv Sofia,Sofia,Yes
1939,Slavia Sofia,Sofia,Yes
1938,SC Ticha Varna,Varna,No
1937,Levski Sofia,Sofia,Yes
1936,Slavia Sofia,Sofia,Yes
1935,SK Sofia,Sofia,Yes
1934,Vladislav Varna,Varna,No
1933,Levski Sofia,Sofia,Yes
1932,Shipchenski Sokol Varna,Varna,No
1931,AS-23 Sofia,Sofia,Yes
1930,Slavia Sofia,Sofia,Yes
1929,Botev Plovdiv,Plovdiv,No
1928,Slavia Sofia,Sofia,Yes
1926,Vladislav Varna,Varna,No
1925,Vladislav Varna,Varna,No
