year,team,city,isCapital
2019,Dinamo Zagreb,Zagreb,Yes
2018,Dinamo Zagreb,Zagreb,Yes
2017,HNK Rijeka,Rijeka,No
2016,Dinamo Zagreb,Zagreb,Yes
2015,Dinamo Zagreb,Zagreb,Yes
2014,Dinamo Zagreb,Zagreb,Yes
2013,Dinamo Zagreb,Zagreb,Yes
2012,Dinamo Zagreb,Zagreb,Yes
2011,Dinamo Zagreb,Zagreb,Yes
2010,Dinamo Zagreb,Zagreb,Yes
2009,Dinamo Zagreb,Zagreb,Yes
2008,Dinamo Zagreb,Zagreb,Yes
2007,Dinamo Zagreb,Zagreb,Yes
2006,Dinamo Zagreb,Zagreb,Yes
2005,Hajduk Split,Split,No
2004,Hajduk Split,Split,No
2003,Dinamo Zagreb,Zagreb,Yes
2002,NK Zagreb,Zagreb,Yes
2001,Hajduk Split,Split,No
2000,Croatia Zagreb,Zagreb,Yes
1999,Croatia Zagreb,Zagreb,Yes
1998,Croatia Zagreb,Zagreb,Yes
1997,Croatia Zagreb,Zagreb,Yes
1996,Croatia Zagreb,Zagreb,Yes
1995,Hajduk Split,Split,No
1994,Hajduk Split,Split,No
1993,HAŠK-Građanski,Zagreb,Yes
1992,Hajduk Split,Split,No
1943,1. HŠK Građanski,Zagreb,Yes
1942,Concordia Zagreb,Zagreb,Yes
1941,1. HŠK Građanski,Zagreb,Yes
