year,team,city,isCapital
2019,APOEL Nikosia,Nicosia,Yes
2018,APOEL Nikosia,Nicosia,Yes
2017,APOEL Nikosia,Nicosia,Yes
2016,APOEL Nikosia,Nicosia,Yes
2015,APOEL Nikosia,Nicosia,Yes
2014,APOEL Nikosia,Nicosia,Yes
2013,APOEL Nikosia,Nicosia,Yes
2012,AEL Limassol,Limassol,No
2011,APOEL Nikosia,Nicosia,Yes
2010,Omonia Nikosia,Nicosia,Yes
2009,APOEL Nikosia,Nicosia,Yes
2008,Anorthosis Famagusta FC,Larnaca,No
2007,APOEL Nikosia,Nicosia,Yes
2006,Apollon Limassol,Limassol,No
2005,Anorthosis Famagusta FC,Larnaca,No
2004,APOEL Nikosia,Nicosia,Yes
2003,Omonia Nikosia,Nicosia,Yes
2002,APOEL Nikosia,Nicosia,Yes
2001,Omonia Nikosia,Nicosia,Yes
2000,Anorthosis Famagusta FC,Larnaca,No
1999,Anorthosis Famagusta FC,Larnaca,No
1998,Anorthosis Famagusta FC,Larnaca,No
1997,Anorthosis Famagusta FC,Larnaca,No
1996,APOEL Nikosia,Nicosia,Yes
1995,Anorthosis Famagusta FC,Larnaca,No
1994,Apollon Limassol,Limassol,No
1993,Omonia Nikosia,Nicosia,Yes
1992,APOEL Nikosia,Nicosia,Yes
1991,Apollon Limassol,Limassol,No
1990,APOEL Nikosia,Nicosia,Yes
1989,Omonia Nikosia,Nicosia,Yes
1988,Pezoporikos Larnaca,Larnaca,No
1987,Omonia Nikosia,Nicosia,Yes
1986,APOEL Nikosia,Nicosia,Yes
1985,Omonia Nikosia,Nicosia,Yes
1984,Omonia Nikosia,Nicosia,Yes
1983,Omonia Nikosia,Nicosia,Yes
1982,Omonia Nikosia,Nicosia,Yes
1981,Omonia Nikosia,Nicosia,Yes
1980,APOEL Nikosia,Nicosia,Yes
1979,Omonia Nikosia,Nicosia,Yes
1978,Omonia Nikosia,Nicosia,Yes
1977,Omonia Nikosia,Nicosia,Yes
1976,Omonia Nikosia,Nicosia,Yes
1975,Omonia Nikosia,Nicosia,Yes
1974,Omonia Nikosia,Nicosia,Yes
1973,APOEL Nikosia,Nicosia,Yes
1972,Omonia Nikosia,Nicosia,Yes
1971,Olympiakos Nikosia,Nicosia,Yes
1970,EPA Larnaca,Larnaca,No
1969,Olympiakos Nikosia,Nicosia,Yes
1968,AEL Limassol,Limassol,No
1967,Olympiakos Nikosia,Nicosia,Yes
1966,Omonia Nikosia,Nicosia,Yes
1965,APOEL Nikosia,Nicosia,Yes
1963,Anorthosis Famagusta FC,Larnaca,No
1962,Anorthosis Famagusta FC,Larnaca,No
1961,Omonia Nikosia,Nicosia,Yes
1960,Anorthosis Famagusta FC,Larnaca,No
1958,Anorthosis Famagusta FC,Larnaca,No
1957,Anorthosis Famagusta FC,Larnaca,No
1956,AEL Limassol,Limassol,No
1955,AEL Limassol,Limassol,No
1954,Pezoporikos Larnaca,Larnaca,No
1953,AEL Limassol,Limassol,No
1952,APOEL Nikosia,Nicosia,Yes
1951,Çetinkaya TSK,Nicosia,Yes
1950,Anorthosis Famagusta FC,Larnaca,No
1949,APOEL Nikosia,Nicosia,Yes
1948,APOEL Nikosia,Nicosia,Yes
1947,APOEL Nikosia,Nicosia,Yes
1946,EPA Larnaca,Larnaca,No
1945,EPA Larnaca,Larnaca,No
1941,AEL Limassol,Limassol,No
1940,APOEL Nikosia,Nicosia,Yes
1939,APOEL Nikosia,Nicosia,Yes
1938,APOEL Nikosia,Nicosia,Yes
1937,APOEL Nikosia,Nicosia,Yes
1936,APOEL Nikosia,Nicosia,Yes
1935,Trast Nikosia,Nicosia,Yes
