year,team,city,isCapital
2019,Slavia Praha,Prague,Yes
2018,Viktoria Plzeň,Pilsen,No
2017,Slavia Praha,Prague,Yes
2016,Viktoria Plzeň,Pilsen,No
2015,Viktoria Plzeň,Pilsen,No
2014,Sparta Praha,Prague,Yes
2013,Viktoria Plzeň,Pilsen,No
2012,Slovan Liberec,Liberec,No
2011,Viktoria Plzeň,Pilsen,No
2010,Sparta Praha,Prague,Yes
2009,Slavia Praha,Prague,Yes
2008,Slavia Praha,Prague,Yes
2007,Sparta Praha,Prague,Yes
2006,Slovan Liberec,Liberec,No
2005,Sparta Praha,Prague,Yes
2004,Baník Ostrava,Ostrava,No
2003,Sparta Praha,Prague,Yes
2002,Slovan Liberec,Liberec,No
2001,Sparta Praha,Prague,Yes
2000,Sparta Praha,Prague,Yes
1999,Sparta Praha,Prague,Yes
1998,Sparta Praha,Prague,Yes
1997,Sparta Praha,Prague,Yes
1996,Slavia Praha,Prague,Yes
1995,Sparta Praha,Prague,Yes
1994,Sparta Praha,Prague,Yes
1944,AC Sparta,Prague,Yes
1943,SK Slavia Praha,Prague,Yes
1942,SK Slavia Praha,Prague,Yes
1941,SK Slavia Praha,Prague,Yes
1940,SK Slavia Praha,Prague,Yes
1939,AC Sparta,Prague,Yes
1917,AC Sparta,Prague,Yes
1915,SK Slavia Praha,Prague,Yes
1913,SK Slavia Praha,Prague,Yes
1912,AC Sparta,Prague,Yes
1902,CAFC Vinohrady,Prague,Yes
1901,SK Slavia Praha,Prague,Yes
1900,SK Slavia Praha,Prague,Yes
1899,SK Slavia Praha,Prague,Yes
1898,SK Slavia Praha,Prague,Yes
1897,SK Slavia Praha,Prague,Yes
1896,CFK Kickers Prag,Prague,Yes
1896,DFC Prag,Prague,Yes
