year,team,city,isCapital
1991,Hansa Rostock,Rostock,No
1990,Dynamo Dresden,Dresden,No
1989,Dynamo Dresden,Dresden,No
1988,BFC Dynamo,Berlin,Yes
1987,BFC Dynamo,Berlin,Yes
1986,BFC Dynamo,Berlin,Yes
1985,BFC Dynamo,Berlin,Yes
1984,BFC Dynamo,Berlin,Yes
1983,BFC Dynamo,Berlin,Yes
1982,BFC Dynamo,Berlin,Yes
1981,BFC Dynamo,Berlin,Yes
1980,BFC Dynamo,Berlin,Yes
1979,BFC Dynamo,Berlin,Yes
1978,Dynamo Dresden,Dresden,No
1977,Dynamo Dresden,Dresden,No
1976,Dynamo Dresden,Dresden,No
1975,1. FC Magdeburg,Magdeburg,No
1974,1. FC Magdeburg,Magdeburg,No
1973,Dynamo Dresden,Dresden,No
1972,1. FC Magdeburg,Magdeburg,No
1971,Dynamo Dresden,Dresden,No
1970,FC Carl Zeiss Jena,Jena,No
1969,FC Vorwärts Berlin,Berlin,Yes
1968,FC Carl Zeiss Jena,Jena,No
1967,FC Karl-Marx-Stadt,Chemnitz,No
1966,FC Vorwärts Berlin,Berlin,Yes
1965,ASK Vorwärts Berlin,Berlin,Yes
1964,BSG Chemie Leipzig,Leipzig,No
1963,SC Motor Jena,Jena,No
1962,ASK Vorwärts Berlin,Berlin,Yes
1960,ASK Vorwärts Berlin,Berlin,Yes
1959,SC Wismut Karl-Marx-Stadt,Chemnitz,No
1958,ASK Vorwärts Berlin,Berlin,Yes
1957,SC Wismut Karl-Marx-Stadt,Chemnitz,No
1956,SC Wismut Karl-Marx-Stadt,Chemnitz,No
1955,BSG Turbine Erfurt,Erfurt,No
1954,BSG Turbine Erfurt,Erfurt,No
1953,SV Deutsche VP Dresden,Dresden,No
1952,BSG Turbine Halle,Halle,No
1951,BSG Chemie Leipzig,Leipzig,No
1950,ZSG Horch Zwickau,Zwickau,No
1949,ZSG Union Halle,Halle,No
1948,SG Planitz,Zwickau,No
