year,team,city,isCapital
2019,Manchester City,Manchester,No
2018,Manchester City,Manchester,No
2017,Chelsea FC,London,Yes
2016,Leicester City,Leicester,No
2015,Chelsea FC,London,Yes
2014,Manchester City,Manchester,No
2013,Manchester United,Manchester,No
2012,Manchester City,Manchester,No
2011,Manchester United,Manchester,No
2010,Chelsea FC,London,Yes
2009,Manchester United,Manchester,No
2008,Manchester United,Manchester,No
2007,Manchester United,Manchester,No
2006,Chelsea FC,London,Yes
2005,Chelsea FC,London,Yes
2004,Arsenal FC,London,Yes
2003,Manchester United,Manchester,No
2002,Arsenal FC,London,Yes
2001,Manchester United,Manchester,No
2000,Manchester United,Manchester,No
1999,Manchester United,Manchester,No
1998,Arsenal FC,London,Yes
1997,Manchester United,Manchester,No
1996,Manchester United,Manchester,No
1995,Blackburn Rovers,Blackburn,No
1994,Manchester United,Manchester,No
1993,Manchester United,Manchester,No
1992,Leeds United,Leeds,No
1991,Arsenal FC,London,Yes
1990,Liverpool FC,Liverpool,No
1989,Arsenal FC,London,Yes
1988,Liverpool FC,Liverpool,No
1987,Everton FC,Liverpool,No
1986,Liverpool FC,Liverpool,No
1985,Everton FC,Liverpool,No
1984,Liverpool FC,Liverpool,No
1983,Liverpool FC,Liverpool,No
1982,Liverpool FC,Liverpool,No
1981,Aston Villa,Birmingham,No
1980,Liverpool FC,Liverpool,No
1979,Liverpool FC,Liverpool,No
1978,Nottingham Forest,Nottingham,No
1977,Liverpool FC,Liverpool,No
1976,Liverpool FC,Liverpool,No
1975,Derby County,Derby,No
1974,Leeds United,Leeds,No
1973,Liverpool FC,Liverpool,No
1972,Derby County,Derby,No
1971,Arsenal FC,London,Yes
1970,Everton FC,Liverpool,No
1969,Leeds United,Leeds,No
1968,Manchester City,Manchester,No
1967,Manchester United,Manchester,No
1966,Liverpool FC,Liverpool,No
1965,Manchester United,Manchester,No
1964,Liverpool FC,Liverpool,No
1963,Everton FC,Liverpool,No
1962,Ipswich Town,Ipswich,No
1961,Tottenham Hotspur,London,Yes
1960,Burnley FC,Burnley,No
1959,Wolverhampton Wanderers,Wolverhampton,No
1958,Wolverhampton Wanderers,Wolverhampton,No
1957,Manchester United,Manchester,No
1956,Manchester United,Manchester,No
1955,Chelsea FC,London,Yes
1954,Wolverhampton Wanderers,Wolverhampton,No
1953,Arsenal FC,London,Yes
1952,Manchester United,Manchester,No
1951,Tottenham Hotspur,London,Yes
1950,Portsmouth FC,Portsmouth,No
1949,Portsmouth FC,Portsmouth,No
1948,Arsenal FC,London,Yes
1947,Liverpool FC,Liverpool,No
1939,Everton FC,Liverpool,No
1938,Arsenal FC,London,Yes
1937,Manchester City,Manchester,No
1936,Sunderland AFC,Sunderland,No
1935,Arsenal FC,London,Yes
1934,Arsenal FC,London,Yes
1933,Arsenal FC,London,Yes
1932,Everton FC,Liverpool,No
1931,Arsenal FC,London,Yes
1930,Sheffield Wednesday,Sheffield,No
1929,Sheffield Wednesday,Sheffield,No
1928,Everton FC,Liverpool,No
1927,Newcastle United,Newcastle,No
1926,Huddersfield Town,Huddersfield,No
1925,Huddersfield Town,Huddersfield,No
1924,Huddersfield Town,Huddersfield,No
1923,Liverpool FC,Liverpool,No
1922,Liverpool FC,Liverpool,No
1921,Burnley FC,Burnley,No
1920,West Bromwich Albion,Birmingham,No
1915,Everton FC,Liverpool,No
1914,Blackburn Rovers,Blackburn,No
1913,Sunderland AFC,Sunderland,No
1912,Blackburn Rovers,Blackburn,No
1911,Manchester United,Manchester,No
1910,Aston Villa,Birmingham,No
1909,Newcastle United,Newcastle,No
1908,Manchester United,Manchester,No
1907,Newcastle United,Newcastle,No
1906,Liverpool FC,Liverpool,No
1905,Newcastle United,Newcastle,No
1904,Sheffield Wednesday,Sheffield,No
1903,Sheffield Wednesday,Sheffield,No
1902,Sunderland AFC,Sunderland,No
1901,Liverpool FC,Liverpool,No
1900,Aston Villa,Birmingham,No
1899,Aston Villa,Birmingham,No
1898,Sheffield United,Sheffield,No
1897,Aston Villa,Birmingham,No
1896,Aston Villa,Birmingham,No
1895,Sunderland AFC,Sunderland,No
1894,Aston Villa,Birmingham,No
1893,Sunderland AFC,Sunderland,No
1892,Sunderland AFC,Sunderland,No
1891,Everton FC,Liverpool,No
1890,Preston North End,Preston,No
1889,Preston North End,Preston,No
