year,team,city,isCapital
2018,JK Nõmme Kalju,Tallinn,Yes
2017,FC Flora,Tallinn,Yes
2016,FC Infonet,Tallinn,Yes
2015,FC Flora,Tallinn,Yes
2014,FC Levadia,Tallinn,Yes
2013,FC Levadia,Tallinn,Yes
2012,JK Nõmme Kalju,Tallinn,Yes
2011,FC Flora,Tallinn,Yes
2010,FC Flora,Tallinn,Yes
2009,FC Levadia,Tallinn,Yes
2008,FC Levadia,Tallinn,Yes
2007,FC Levadia,Tallinn,Yes
2006,FC Levadia,Tallinn,Yes
2005,FC TVMK,Tallinn,Yes
2004,FC Levadia,Tallinn,Yes
2003,FC Flora,Tallinn,Yes
2002,FC Flora,Tallinn,Yes
2001,FC Flora,Tallinn,Yes
2000,Levadia Maardu,Tallinn,Yes
1999,Levadia Maardu,Tallinn,Yes
1998,FC Flora,Tallinn,Yes
1997,Lantana Tallinn,Tallinn,Yes
1996,Lantana Tallinn,Tallinn,Yes
1995,FC Flora,Tallinn,Yes
1994,FC Flora,Tallinn,Yes
1993,Norma Tallinn,Tallinn,Yes
1992,Norma Tallinn,Tallinn,Yes
1991,FC TVMK,Tallinn,Yes
1990,FC TVMK,Tallinn,Yes
1989,Zvezda Tallinn,Tallinn,Yes
1988,Norma Tallinn,Tallinn,Yes
1987,Tempo Tallinn,Tallinn,Yes
1986,Zvezda Tallinn,Tallinn,Yes
1985,Kalakombinaat/MEK Pärnu,Pärnu,No
1984,Estonia Johvi,Jõhvi,No
1983,Tallinna Dünamo,Tallinn,Yes
1982,Tempo Tallinn,Tallinn,Yes
1981,Tallinna Dünamo,Tallinn,Yes
1980,Tallinna Dünamo,Tallinn,Yes
1979,Norma Tallinn,Tallinn,Yes
1978,Tallinna Dünamo,Tallinn,Yes
1977,Baltika Narva,Narva,No
1976,Dvigatel Tallinn,Tallinn,Yes
1975,Baltika Narva,Narva,No
1974,Baltika Narva,Narva,No
1973,Kreenholm Narva,Narva,No
1972,Balti Laevastik Tallinn,Tallinn,Yes
1971,Tempo Tallinn,Tallinn,Yes
1970,Norma Tallinn,Tallinn,Yes
1969,Dvigatel Tallinn,Tallinn,Yes
1968,Balti Laevastik Tallinn,Tallinn,Yes
1967,Norma Tallinn,Tallinn,Yes
1966,Balti Laevastik Tallinn,Tallinn,Yes
1965,Balti Laevastik Tallinn,Tallinn,Yes
1964,Norma Tallinn,Tallinn,Yes
1963,Tempo Tallinn,Tallinn,Yes
1962,Kalev Ülemiste,Tallinn,Yes
1961,Kalev Kopli,Tallinn,Yes
1960,Balti Laevastik Tallinn,Tallinn,Yes
1959,Kalev Ülemiste,Tallinn,Yes
1958,Kalev Ülemiste,Tallinn,Yes
1957,Kalev Ülemiste,Tallinn,Yes
1956,Balti Laevastik Tallinn,Tallinn,Yes
1955,Kalev Tallinn,Tallinn,Yes
1954,Tallinna Dünamo,Tallinn,Yes
1953,Tallinna Dünamo,Tallinn,Yes
1952,Balti Laevastik Tallinn,Tallinn,Yes
1951,Balti Laevastik Tallinn,Tallinn,Yes
1950,Tallinna Dünamo,Tallinn,Yes
1949,Tallinna Dünamo,Tallinn,Yes
1948,Balti Laevastik Tallinn,Tallinn,Yes
1947,Tallinna Dünamo,Tallinn,Yes
1946,Balti Laevastik Tallinn,Tallinn,Yes
1945,Tallinna Dünamo,Tallinn,Yes
1943,Estonia Tallinn,Tallinn,Yes
1942,Polizei SV Dorpat,Tartu,No
1940,Tartu Olümpia,Tartu,No
1939,Estonia Tallinn,Tallinn,Yes
1938,Estonia Tallinn,Tallinn,Yes
1936,Estonia Tallinn,Tallinn,Yes
1935,Estonia Tallinn,Tallinn,Yes
1934,Estonia Tallinn,Tallinn,Yes
1933,SK Tallinna Sport,Tallinn,Yes
1932,SK Tallinna Sport,Tallinn,Yes
1931,SK Tallinna Sport,Tallinn,Yes
1930,Kalev Tallinn,Tallinn,Yes
1929,SK Tallinna Sport,Tallinn,Yes
1928,Tallinna JK,Tallinn,Yes
1927,SK Tallinna Sport,Tallinn,Yes
1926,Tallinna JK,Tallinn,Yes
1925,SK Tallinna Sport,Tallinn,Yes
1924,SK Tallinna Sport,Tallinn,Yes
1923,Kalev Tallinn,Tallinn,Yes
1922,SK Tallinna Sport,Tallinn,Yes
1921,SK Tallinna Sport,Tallinn,Yes
