year,team,city,isCapital
2019,Kuopion PS,Kuopio,No
2018,HJK Helsinki,Helsinki,Yes
2017,HJK Helsinki,Helsinki,Yes
2016,IFK Mariehamn,Mariehamn,No
2015,SJK Seinäjoki,Seinäjoki,No
2014,HJK Helsinki,Helsinki,Yes
2013,HJK Helsinki,Helsinki,Yes
2012,HJK Helsinki,Helsinki,Yes
2011,HJK Helsinki,Helsinki,Yes
2010,HJK Helsinki,Helsinki,Yes
2009,HJK Helsinki,Helsinki,Yes
2008,Inter Turku,Turku,No
2007,Tampere United,Tampere,No
2006,Tampere United,Tampere,No
2005,MyPa Anjalankoski,Kouvola,No
2004,Haka Valkeakoski,Valkeakoski,No
2003,HJK Helsinki,Helsinki,Yes
2002,HJK Helsinki,Helsinki,Yes
2001,Tampere United,Tampere,No
2000,Haka Valkeakoski,Valkeakoski,No
1999,Haka Valkeakoski,Valkeakoski,No
1998,Haka Valkeakoski,Valkeakoski,No
1997,HJK Helsinki,Helsinki,Yes
1996,FC Jazz Pori,Pori,No
1995,Haka Valkeakoski,Valkeakoski,No
1994,TPV Tampere,Tampere,No
1993,FC Jazz Pori,Pori,No
1992,HJK Helsinki,Helsinki,Yes
1991,FC Kuusysi,Lahti,No
1990,HJK Helsinki,Helsinki,Yes
1989,FC Kuusysi,Lahti,No
1988,HJK Helsinki,Helsinki,Yes
1987,HJK Helsinki,Helsinki,Yes
1986,FC Kuusysi,Lahti,No
1985,HJK Helsinki,Helsinki,Yes
1984,FC Kuusysi,Lahti,No
1983,Ilves Tampere,Tampere,No
1982,FC Kuusysi,Lahti,No
1981,HJK Helsinki,Helsinki,Yes
1980,OPS Oulu,Oulu,No
1979,OPS Oulu,Oulu,No
1978,HJK Helsinki,Helsinki,Yes
1977,Haka Valkeakoski,Valkeakoski,No
1976,Kuopion PS,Kuopio,No
1975,TPS Turku,Turku,No
1974,Kuopion PS,Kuopio,No
1973,HJK Helsinki,Helsinki,Yes
1972,TPS Turku,Turku,No
1971,TPS Turku,Turku,No
1970,FC Reipas Lahti,Lahti,No
1969,KPV Kokkola,Kokkola,No
1968,TPS Turku,Turku,No
1967,FC Reipas Lahti,Lahti,No
1966,Kuopion PS,Kuopio,No
1965,Haka Valkeakoski,Valkeakoski,No
1964,HJK Helsinki,Helsinki,Yes
1963,FC Reipas Lahti,Lahti,No
1962,Haka Valkeakoski,Valkeakoski,No
1961,Helsingfors IFK,Helsinki,Yes
1960,Haka Valkeakoski,Valkeakoski,No
1959,Helsingfors IFK,Helsinki,Yes
1958,Kuopion PS,Kuopio,No
1957,HPS Helsinki,Helsinki,Yes
1956,Kuopion PS,Kuopio,No
1955,KIF Helsinki,Helsinki,Yes
1954,Pyrkivä Turku,Turku,No
1953,VIFK Vaasa,Vaasa,No
1952,Kotkan TP II,Kotka,No
1951,Kotkan TP II,Kotka,No
1950,Ilves-Kissat,Tampere,No
1949,TPS Turku,Turku,No
1948,Vaasan PS,Vaasa,No
1947,Helsingfors IFK,Helsinki,Yes
1946,VIFK Vaasa,Vaasa,No
1945,Vaasan PS,Vaasa,No
1944,VIFK Vaasa,Vaasa,No
1943,HT Helsinki,Helsinki,Yes
1942,TPS Turku,Turku,No
1941,Sudet Viipuri,Kouvola,No
1940,TPS Turku,Turku,No
1939,HJK Helsinki,Helsinki,Yes
1938,Helsingfors IFK,Helsinki,Yes
1937,HJK Helsinki,Helsinki,Yes
1936,HPS Helsinki,Helsinki,Yes
1935,HPS Helsinki,Helsinki,Yes
1934,Helsingfors IFK,Helsinki,Yes
1933,HPS Helsinki,Helsinki,Yes
1932,Helsingfors IFK,Helsinki,Yes
1931,Helsingfors IFK,Helsinki,Yes
1930,HPS Helsinki,Helsinki,Yes
1929,TPS Turku,Turku,No
1928,HPS Helsinki,Helsinki,Yes
1927,HPS Helsinki,Helsinki,Yes
1926,HJK Helsinki,Helsinki,Yes
1925,ÅIFK Turku,Turku,No
1924,HJK Helsinki,Helsinki,Yes
1923,HPS Helsinki,Helsinki,Yes
1922,HPS Helsinki,Helsinki,Yes
1921,ÅIFK Turku,Turku,No
1920,HJK Helsinki,Helsinki,Yes
1919,HJK Helsinki,Helsinki,Yes
1918,HJK Helsinki,Helsinki,Yes
1917,KIF Helsinki,Helsinki,Yes
1916,KIF Helsinki,Helsinki,Yes
1915,KIF Helsinki,Helsinki,Yes
1914,HJK Helsinki,Helsinki,Yes
1913,HJK Helsinki,Helsinki,Yes
1912,ÅIFK Turku,Turku,No
1911,Unitas Helsinki,Helsinki,Yes
1910,PUS Helsinki,Helsinki,Yes
