year,team,city,isCapital
2019,Paris Saint-Germain,Paris,Yes
2018,Paris Saint-Germain,Paris,Yes
2017,AS Monaco,Monaco,No
2016,Paris Saint-Germain,Paris,Yes
2015,Paris Saint-Germain,Paris,Yes
2014,Paris Saint-Germain,Paris,Yes
2013,Paris Saint-Germain,Paris,Yes
2012,Montpellier HSC,Montpellier,No
2011,Lille OSC,Lille,No
2010,Olympique Marseille,Marseille,No
2009,Girondins Bordeaux,Bordeaux,No
2008,Olympique Lyon,Lyon,No
2007,Olympique Lyon,Lyon,No
2006,Olympique Lyon,Lyon,No
2005,Olympique Lyon,Lyon,No
2004,Olympique Lyon,Lyon,No
2003,Olympique Lyon,Lyon,No
2002,Olympique Lyon,Lyon,No
2001,FC Nantes,Nantes,No
2000,AS Monaco,Monaco,No
1999,Girondins Bordeaux,Bordeaux,No
1998,RC Lens,Lens,No
1997,AS Monaco,Monaco,No
1996,AJ Auxerre,Auxerre,No
1995,FC Nantes,Nantes,No
1994,Paris Saint-Germain,Paris,Yes
1992,Olympique Marseille,Marseille,No
1991,Olympique Marseille,Marseille,No
1990,Olympique Marseille,Marseille,No
1989,Olympique Marseille,Marseille,No
1988,AS Monaco,Monaco,No
1987,Girondins Bordeaux,Bordeaux,No
1986,Paris Saint-Germain,Paris,Yes
1985,Girondins Bordeaux,Bordeaux,No
1984,Girondins Bordeaux,Bordeaux,No
1983,FC Nantes,Nantes,No
1982,AS Monaco,Monaco,No
1981,AS Saint-Étienne,Saint-Étienne,No
1980,FC Nantes,Nantes,No
1979,RC Strasbourg,Strasbourg,No
1978,AS Monaco,Monaco,No
1977,FC Nantes,Nantes,No
1976,AS Saint-Étienne,Saint-Étienne,No
1975,AS Saint-Étienne,Saint-Étienne,No
1974,AS Saint-Étienne,Saint-Étienne,No
1973,FC Nantes,Nantes,No
1972,Olympique Marseille,Marseille,No
1971,Olympique Marseille,Marseille,No
1970,AS Saint-Étienne,Saint-Étienne,No
1969,AS Saint-Étienne,Saint-Étienne,No
1968,AS Saint-Étienne,Saint-Étienne,No
1967,AS Saint-Étienne,Saint-Étienne,No
1966,FC Nantes,Nantes,No
1965,FC Nantes,Nantes,No
1964,AS Saint-Étienne,Saint-Étienne,No
1963,AS Monaco,Monaco,No
1962,Stade Reims,Reims,No
1961,AS Monaco,Monaco,No
1960,Stade Reims,Reims,No
1959,OGC Nice,Nice,No
1958,Stade Reims,Reims,No
1957,AS Saint-Étienne,Saint-Étienne,No
1956,OGC Nice,Nice,No
1955,Stade Reims,Reims,No
1954,Lille OSC,Lille,No
1953,Stade Reims,Reims,No
1952,OGC Nice,Nice,No
1951,OGC Nice,Nice,No
1950,Girondins Bordeaux,Bordeaux,No
1949,Stade Reims,Reims,No
1948,Olympique Marseille,Marseille,No
1947,Olympique Roubaix-Tourcoing,Roubaix,No
1946,Lille OSC,Lille,No
1939,FC Sète,FC Sète,No
1938,FC Sochaux,Sochaux,No
1937,Olympique Marseille,Marseille,No
1936,Racing Club de France,Paris,Yes
1935,FC Sochaux,Sochaux,No
1934,FC Sète,FC Sète,No
1933,Olympique Lillois Lille,Lille,No
1932,FC Mulhouse,Mulhouse,No
1931,FC Sochaux,Sochaux,No
1914,Olympique Lillois Lille,Lille,No
1913,CA Paris (alt),Paris,Yes
1912,Étoile des Deux Lacs,Paris,Yes
1911,CA Paris (alt),Paris,Yes
1910,Patronage Olier Paris-Arcueil,Paris,Yes
1909,AS Saint-Ouen,Saint-Ouen,No
1908,Patronage Olier Paris-Arcueil,Paris,Yes
1907,Étoile des Deux Lacs,Paris,Yes
1906,SM Puteaux,Paris,Yes
1906,RC Roubaix,Roubaix,No
1906,Étoile des Deux Lacs,Paris,Yes
1905,Gallia Club Paris,Paris,Yes
1905,Étoile des Deux Lacs,Paris,Yes
1904,RC Roubaix,Roubaix,No
1903,RC Roubaix,Roubaix,No
1902,RC Roubaix,Roubaix,No
1901,AC Standard Paris,Paris,Yes
1900,Le Havre AC,Le Havre,No
1899,Le Havre AC,Le Havre,No
1898,AC Standard Paris,Paris,Yes
1897,AC Standard Paris,Paris,Yes
1896,Club Francais Paris,Paris,Yes
1895,AC Standard Paris,Paris,Yes
1894,AC Standard Paris,Paris,Yes
