year,team,city,isCapital
2018,FC Saburtalo,Tbilisi,Yes
2017,Torpedo Kutaisi,Kutaisi,No
2016,FC Samtredia,Samtredia,No
2016,Dinamo Tbilisi,Tbilisi,Yes
2015,Dila Gori,Gori,No
2014,Dinamo Tbilisi,Tbilisi,Yes
2013,Dinamo Tbilisi,Tbilisi,Yes
2012,FC Zestafoni,Zestaponi,No
2011,FC Zestafoni,Zestaponi,No
2010,Metalurgi Rustavi,Rustavi,No
2009,WIT Georgia,Tbilisi,Yes
2008,Dinamo Tbilisi,Tbilisi,Yes
2007,Metalurgi Rustavi,Rustavi,No
2006,Sioni Bolnisi,Bolnisi,No
2005,Dinamo Tbilisi,Tbilisi,Yes
2004,WIT Georgia,Tbilisi,Yes
2003,Dinamo Tbilisi,Tbilisi,Yes
2002,Torpedo Kutaisi,Kutaisi,No
2001,Torpedo Kutaisi,Kutaisi,No
2000,Torpedo Kutaisi,Kutaisi,No
1999,Dinamo Tbilisi,Tbilisi,Yes
1998,Dinamo Tbilisi,Tbilisi,Yes
1997,Dinamo Tbilisi,Tbilisi,Yes
1996,Dinamo Tbilisi,Tbilisi,Yes
1995,Dinamo Tbilisi,Tbilisi,Yes
1994,Dinamo Tbilisi,Tbilisi,Yes
1993,Dinamo Tbilisi,Tbilisi,Yes
1992,Dinamo Tbilisi,Tbilisi,Yes
1991,Iberia Tbilisi,Tbilisi,Yes
1990,Iberia Tbilisi,Tbilisi,Yes
