year,team,city,isCapital
2019,Bayern München,Munich,No
2018,Bayern München,Munich,No
2017,Bayern München,Munich,No
2016,Bayern München,Munich,No
2015,Bayern München,Munich,No
2014,Bayern München,Munich,No
2013,Bayern München,Munich,No
2012,Borussia Dortmund,Dortmund,No
2011,Borussia Dortmund,Dortmund,No
2010,Bayern München,Munich,No
2009,VfL Wolfsburg,Wolfsburg,No
2008,Bayern München,Munich,No
2007,VfB Stuttgart,Stuttgart,No
2006,Bayern München,Munich,No
2005,Bayern München,Munich,No
2004,Werder Bremen,Bremen,No
2003,Bayern München,Munich,No
2002,Borussia Dortmund,Dortmund,No
2001,Bayern München,Munich,No
2000,Bayern München,Munich,No
1999,Bayern München,Munich,No
1998,1. FC Kaiserslautern,Kaiserslautern,No
1997,Bayern München,Munich,No
1996,Borussia Dortmund,Dortmund,No
1995,Borussia Dortmund,Dortmund,No
1994,Bayern München,Munich,No
1993,Werder Bremen,Bremen,No
1992,VfB Stuttgart,Stuttgart,No
1991,1. FC Kaiserslautern,Kaiserslautern,No
1990,Bayern München,Munich,No
1989,Bayern München,Munich,No
1988,Werder Bremen,Bremen,No
1987,Bayern München,Munich,No
1986,Bayern München,Munich,No
1985,Bayern München,Munich,No
1984,VfB Stuttgart,Stuttgart,No
1983,Hamburger SV,,No
1982,Hamburger SV,,No
1981,Bayern München,Munich,No
1980,Bayern München,Munich,No
1979,Hamburger SV,,No
1978,1. FC Köln,,No
1977,Bor. Mönchengladbach,,No
1976,Bor. Mönchengladbach,,No
1975,Bor. Mönchengladbach,,No
1974,Bayern München,Munich,No
1973,Bayern München,Munich,No
1972,Bayern München,Munich,No
1971,Bor. Mönchengladbach,,No
1970,Bor. Mönchengladbach,,No
1969,Bayern München,Munich,No
1968,1. FC Nürnberg,,No
1967,Eintracht Braunschweig,Braunschweig,No
1966,TSV 1860 München,,No
1965,Werder Bremen,Bremen,No
1964,1. FC Köln,,No
1963,Borussia Dortmund,Dortmund,No
1962,1. FC Köln,,No
1961,1. FC Nürnberg,,No
1960,Hamburger SV,,No
1959,Frankfurter SG Eintracht,,No
1958,FC Schalke 04,,No
1957,Borussia Dortmund,Dortmund,No
1956,Borussia Dortmund,Dortmund,No
1955,Rot-Weiss Essen,,No
1954,Hannover 96,Jannover,No
1953,1. FC Kaiserslautern,Kaiserslautern,No
1952,VfB Stuttgart,Stuttgart,No
1951,1. FC Kaiserslautern,Kaiserslautern,No
1950,VfB Stuttgart,Stuttgart,No
1949,VfR Mannheim,,No
1948,1. FC Nürnberg,,No
1944,Dresdner SC,,No
1943,Dresdner SC,,No
1942,FC Schalke 04,,No
1941,Rapid Wien,Vienna,No
1940,FC Schalke 04,,No
1939,FC Schalke 04,,No
1938,Hannover 96,Jannover,No
1937,FC Schalke 04,,No
1936,1. FC Nürnberg,,No
1935,FC Schalke 04,,No
1934,FC Schalke 04,,No
1933,Düsseldorfer FK Fortuna 1911,,No
1932,Bayern München,Munich,No
1931,Hertha BSC,,No
1930,Hertha BSC,,No
1929,SpVgg Fürth,,No
1928,Hamburger SV,,No
1927,1. FC Nürnberg,,No
1926,SpVgg Fürth,,No
1925,1. FC Nürnberg,,No
1924,1. FC Nürnberg,,No
1923,Hamburger SV,,No
1922,Hamburger SV,,No
1921,1. FC Nürnberg,,No
1920,1. FC Nürnberg,,No
1914,SpVgg Fürth,,No
1913,VfB Leipzig,Leipzig,No
1912,Holstein Kiel,,No
1911,BTuFC Viktoria 89,,No
1910,Karlsruher FV,,No
1909,Phönix Karlsruhe,Karlsruhe,No
1908,BTuFC Viktoria 89,,No
1907,Freiburger FC,,No
1906,VfB Leipzig,Leipzig,No
1905,Union 92 Berlin,Berlin,Yes
1903,VfB Leipzig,Leipzig,No
