year,team,city,isCapital
2019,PAOK Saloniki,Thessaloniki,No
2018,AEK Athen,Athens,Yes
2017,Olympiakos Piräus,Athens,Yes
2016,Olympiakos Piräus,Athens,Yes
2015,Olympiakos Piräus,Athens,Yes
2014,Olympiakos Piräus,Athens,Yes
2013,Olympiakos Piräus,Athens,Yes
2012,Olympiakos Piräus,Athens,Yes
2011,Olympiakos Piräus,Athens,Yes
2010,Panathinaikos,Athens,Yes
2009,Olympiakos Piräus,Athens,Yes
2008,Olympiakos Piräus,Athens,Yes
2007,Olympiakos Piräus,Athens,Yes
2006,Olympiakos Piräus,Athens,Yes
2005,Olympiakos Piräus,Athens,Yes
2004,Panathinaikos,Athens,Yes
2003,Olympiakos Piräus,Athens,Yes
2002,Olympiakos Piräus,Athens,Yes
2001,Olympiakos Piräus,Athens,Yes
2000,Olympiakos Piräus,Athens,Yes
1999,Olympiakos Piräus,Athens,Yes
1998,Olympiakos Piräus,Athens,Yes
1997,Olympiakos Piräus,Athens,Yes
1996,Panathinaikos,Athens,Yes
1995,Panathinaikos,Athens,Yes
1994,AEK Athen,Athens,Yes
1993,AEK Athen,Athens,Yes
1992,AEK Athen,Athens,Yes
1991,Panathinaikos,Athens,Yes
1990,Panathinaikos,Athens,Yes
1989,AEK Athen,Athens,Yes
1988,AE Larisa,Larissa,No
1987,Olympiakos Piräus,Athens,Yes
1986,Panathinaikos,Athens,Yes
1985,PAOK Saloniki,Thessaloniki,No
1984,Panathinaikos,Athens,Yes
1983,Olympiakos Piräus,Athens,Yes
1982,Olympiakos Piräus,Athens,Yes
1981,Olympiakos Piräus,Athens,Yes
1980,Olympiakos Piräus,Athens,Yes
1979,AEK Athen,Athens,Yes
1978,AEK Athen,Athens,Yes
1977,Panathinaikos,Athens,Yes
1976,PAOK Saloniki,Thessaloniki,No
1975,Olympiakos Piräus,Athens,Yes
1974,Olympiakos Piräus,Athens,Yes
1973,Olympiakos Piräus,Athens,Yes
1972,Panathinaikos,Athens,Yes
1971,AEK Athen,Athens,Yes
1970,Panathinaikos,Athens,Yes
1969,Panathinaikos,Athens,Yes
1968,AEK Athen,Athens,Yes
1967,Olympiakos Piräus,Athens,Yes
1966,Olympiakos Piräus,Athens,Yes
1965,Panathinaikos,Athens,Yes
1964,Panathinaikos,Athens,Yes
1963,AEK Athen,Athens,Yes
1962,Panathinaikos,Athens,Yes
1961,Panathinaikos,Athens,Yes
1960,Panathinaikos,Athens,Yes
1959,Olympiakos Piräus,Athens,Yes
1958,Olympiakos Piräus,Athens,Yes
1957,Olympiakos Piräus,Athens,Yes
1956,Olympiakos Piräus,Athens,Yes
1955,Olympiakos Piräus,Athens,Yes
1954,Olympiakos Piräus,Athens,Yes
1953,Panathinaikos,Athens,Yes
1951,Olympiakos Piräus,Athens,Yes
1949,Panathinaikos,Athens,Yes
1948,Olympiakos Piräus,Athens,Yes
1947,Olympiakos Piräus,Athens,Yes
1946,Aris Saloniki,Thessaloniki,No
1940,AEK Athen,Athens,Yes
1939,AEK Athen,Athens,Yes
1938,Olympiakos Piräus,Athens,Yes
1937,Olympiakos Piräus,Athens,Yes
1936,Olympiakos Piräus,Athens,Yes
1934,Olympiakos Piräus,Athens,Yes
1933,Olympiakos Piräus,Athens,Yes
1932,Aris Saloniki,Thessaloniki,No
1931,Olympiakos Piräus,Athens,Yes
1930,Panathinaikos,Athens,Yes
1928,Aris Saloniki,Thessaloniki,No
