year,team,city,isCapital
2019,Ferencvaros,Budapest,Yes
2018,Videoton FC,Szekesfehervar,No
2017,Budapest Honvéd,Budapest,Yes
2016,Ferencvárosi TC,Budapest,Yes
2015,Videoton FC,Szekesfehervar,No
2014,Debreceni VSC,Debrecen,No
2013,Györi ETO FC,Gyor,No
2012,Debreceni VSC,Debrecen,No
2011,Videoton FC,Szekesfehervar,No
2010,Debreceni VSC,Debrecen,No
2009,Debreceni VSC,Debrecen,No
2008,MTK Budapest,Budapest,Yes
2007,Debreceni VSC,Debrecen,No
2006,Debreceni VSC,Debrecen,No
2005,Debreceni VSC,Debrecen,No
2004,Ferencvárosi TC,Budapest,Yes
2003,MTK Hungaria,Budapest,Yes
2002,Zalaegerszegi TE,Zalaegerszegi te,No
2001,Ferencvárosi TC,Budapest,Yes
2000,Dunaferr SE,Dunaujvaros,No
1999,MTK Hungaria,Budapest,Yes
1998,Újpesti TE,Budapest,Yes
1997,MTK FC,Budapest,Yes
1996,Ferencvárosi TC,Budapest,Yes
1995,Ferencvárosi TC,Budapest,Yes
1994,Vác FC-Samsung,Vac,No
1993,Kispesti Honved FC,Budapest,Yes
1992,Ferencvárosi TC,Budapest,Yes
1991,Budapest Honved SE,Budapest,Yes
1990,Újpesti Dózsa SC,Budapest,Yes
1989,Budapest Honved SE,Budapest,Yes
1988,Budapest Honved SE,Budapest,Yes
1987,MTK-Vörös Meteor Sport Kör,Budapest,Yes
1986,Budapest Honved SE,Budapest,Yes
1985,Budapest Honved SE,Budapest,Yes
1984,Budapest Honved SE,Budapest,Yes
1983,Raba ETO Györ,Győr,No
1982,Raba ETO Györ,Győr,No
1981,Ferencvárosi TC,Budapest,Yes
1980,Budapest Honved SE,Budapest,Yes
1979,Újpesti Dózsa SC,Budapest,Yes
1978,Újpesti Dózsa SC,Budapest,Yes
1977,Budapesti Vasas,Budapest,Yes
1976,Ferencvárosi TC,Budapest,Yes
1975,Újpesti Dózsa SC,Budapest,Yes
1974,Újpesti Dózsa SC,Budapest,Yes
1973,Újpesti Dózsa SC,Budapest,Yes
1972,Újpesti Dózsa SC,Budapest,Yes
1971,Újpesti Dózsa SC,Budapest,Yes
1970,Újpesti Dózsa SC,Budapest,Yes
1969,Újpesti Dózsa SC,Budapest,Yes
1968,Ferencvárosi TC,Budapest,Yes
1967,Ferencvárosi TC,Budapest,Yes
1966,Budapesti Vasas,Budapest,Yes
1965,Budapesti Vasas,Budapest,Yes
1964,Ferencvárosi TC,Budapest,Yes
1963,Ferencvárosi TC,Budapest,Yes
1962,Györi Vasas ETO,Győr,No
1961,Budapesti Vasas,Budapest,Yes
1960,Budapesti Vasas,Budapest,Yes
1959,Újpesti Dózsa SC,Budapest,Yes
1958,Csepel SC,Budapest,Yes
1957,MTK,Budapest,Yes
1956,Budapesti Vasas,Budapest,Yes
1955,Budapest Honved SE,Budapest,Yes
1954,Budapest Honved SE,Budapest,Yes
1953,Budapesti Vörös Lobogó,Budapest,Yes
1952,Budapest Honved SE,Budapest,Yes
1951,Budapesti Bástya SE,Budapest,Yes
1950,Budapest Honved SE,Budapest,Yes
1949,Ferencvaros,Budapest,Yes
1948,Csepel SC,Budapest,Yes
1947,Újpest FC,Budapest,Yes
1946,Újpest FC,Budapest,Yes
1945,Újpest FC,Budapest,Yes
1944,Nagyváradi AC,Oradea,No
1943,Csepel SC,Budapest,Yes
1942,Csepel SC,Budapest,Yes
1941,Ferencvaros,Budapest,Yes
1940,Ferencvaros,Budapest,Yes
1939,Újpest FC,Budapest,Yes
1938,Ferencvaros,Budapest,Yes
1937,Hungária FC MTK Budapest,Budapest,Yes
1936,Hungária FC MTK Budapest,Budapest,Yes
1935,Újpest FC,Budapest,Yes
1934,Ferencvaros,Budapest,Yes
1933,Újpest FC,Budapest,Yes
1932,Ferencvaros,Budapest,Yes
1931,Újpest FC,Budapest,Yes
1930,Újpest FC,Budapest,Yes
1929,Hungária FC MTK Budapest,Budapest,Yes
1928,Ferencvaros,Budapest,Yes
1927,Ferencvaros,Budapest,Yes
1926,FTC Budapest,Budapest,Yes
1925,MTK Budapest,Budapest,Yes
1924,MTK Budapest,Budapest,Yes
1923,MTK Budapest,Budapest,Yes
1922,MTK Budapest,Budapest,Yes
1921,MTK Budapest,Budapest,Yes
1920,MTK Budapest,Budapest,Yes
1919,MTK Budapest,Budapest,Yes
1918,MTK Budapest,Budapest,Yes
1917,MTK Budapest,Budapest,Yes
1914,MTK Budapest,Budapest,Yes
1913,FTC Budapest,Budapest,Yes
1912,FTC Budapest,Budapest,Yes
1911,FTC Budapest,Budapest,Yes
1910,FTC Budapest,Budapest,Yes
1909,FTC Budapest,Budapest,Yes
1908,MTK Budapest,Budapest,Yes
1907,FTC Budapest,Budapest,Yes
1905,FTC Budapest,Budapest,Yes
1904,MTK Budapest,Budapest,Yes
1903,FTC Budapest,Budapest,Yes
1902,Budapesti TC,Budapest,Yes
1901,Budapesti TC,Budapest,Yes
