year,team,city,isCapital
2019,KR Reykjavík,Reykjavik,Yes
2018,Valur Reykjavík,Reykjavik,Yes
2017,Valur Reykjavík,Reykjavik,Yes
2016,FH Hafnarfjörður,Hafnarfjordur,No
2015,FH Hafnarfjörður,Hafnarfjordur,No
2014,UMF Stjarnan,Garoaber,No
2013,KR Reykjavík,Reykjavik,Yes
2012,FH Hafnarfjörður,Hafnarfjordur,No
2011,KR Reykjavík,Reykjavik,Yes
2010,Breiðablik,Kopavogur,No
2009,FH Hafnarfjörður,Hafnarfjordur,No
2008,FH Hafnarfjörður,Hafnarfjordur,No
2007,Valur Reykjavík,Reykjavik,Yes
2006,FH Hafnarfjörður,Hafnarfjordur,No
2005,FH Hafnarfjörður,Hafnarfjordur,No
2004,FH Hafnarfjörður,Hafnarfjordur,No
2003,KR Reykjavík,Reykjavik,Yes
2002,KR Reykjavík,Reykjavik,Yes
2001,ÍA Akranes,Akranes,No
2000,KR Reykjavík,Reykjavik,Yes
1999,KR Reykjavík,Reykjavik,Yes
1998,ÍB Vestmannaeyja,Vestmannaeyja,No
1997,ÍB Vestmannaeyja,Vestmannaeyja,No
1996,ÍA Akranes,Akranes,No
1995,ÍA Akranes,Akranes,No
1994,ÍA Akranes,Akranes,No
1993,ÍA Akranes,Akranes,No
1992,ÍA Akranes,Akranes,No
1991,Víkingur Reykjavík,Reykjavik,Yes
1990,Fram Reykjavík,Reykjavik,Yes
1989,KA Akureyri,Akureyri,No
1988,Fram Reykjavík,Reykjavik,Yes
1987,Valur Reykjavík,Reykjavik,Yes
1986,Fram Reykjavík,Reykjavik,Yes
1985,Valur Reykjavík,Reykjavik,Yes
1984,ÍA Akranes,Akranes,No
1983,ÍA Akranes,Akranes,No
1982,Víkingur Reykjavík,Reykjavik,Yes
1981,Víkingur Reykjavík,Reykjavik,Yes
1980,Valur Reykjavík,Reykjavik,Yes
1979,ÍB Vestmannaeyja,Vestmannaeyja,No
1978,Valur Reykjavík,Reykjavik,Yes
1977,ÍA Akranes,Akranes,No
1976,Valur Reykjavík,Reykjavik,Yes
1975,ÍA Akranes,Akranes,No
1974,ÍA Akranes,Akranes,No
1973,ÍB Keflavík,Reykjanesbær,No
1972,Fram Reykjavík,Reykjavik,Yes
1971,ÍB Keflavík,Reykjanesbær,No
1970,ÍA Akranes,Akranes,No
1969,ÍB Keflavík,Reykjanesbær,No
1968,KR Reykjavík,Reykjavik,Yes
1967,Valur Reykjavík,Reykjavik,Yes
1966,Valur Reykjavík,Reykjavik,Yes
1965,KR Reykjavík,Reykjavik,Yes
1964,ÍB Keflavík,Reykjanesbær,No
1963,KR Reykjavík,Reykjavik,Yes
1962,Fram Reykjavík,Reykjavik,Yes
1961,KR Reykjavík,Reykjavik,Yes
1960,ÍA Akranes,Akranes,No
1959,KR Reykjavík,Reykjavik,Yes
1958,ÍA Akranes,Akranes,No
1957,ÍA Akranes,Akranes,No
1956,Valur Reykjavík,Reykjavik,Yes
1955,KR Reykjavík,Reykjavik,Yes
1954,ÍA Akranes,Akranes,No
1953,ÍA Akranes,Akranes,No
1952,KR Reykjavík,Reykjavik,Yes
1951,ÍA Akranes,Akranes,No
1950,KR Reykjavík,Reykjavik,Yes
1949,KR Reykjavík,Reykjavik,Yes
1948,KR Reykjavík,Reykjavik,Yes
1947,Fram Reykjavík,Reykjavik,Yes
1946,Fram Reykjavík,Reykjavik,Yes
1945,Valur Reykjavík,Reykjavik,Yes
1944,Valur Reykjavík,Reykjavik,Yes
1943,Valur Reykjavík,Reykjavik,Yes
1942,Valur Reykjavík,Reykjavik,Yes
1941,KR Reykjavík,Reykjavik,Yes
1940,Valur Reykjavík,Reykjavik,Yes
1939,Fram Reykjavík,Reykjavik,Yes
1938,Valur Reykjavík,Reykjavik,Yes
1937,Valur Reykjavík,Reykjavik,Yes
1936,Valur Reykjavík,Reykjavik,Yes
1935,Valur Reykjavík,Reykjavik,Yes
1934,KR Reykjavík,Reykjavik,Yes
1933,Valur Reykjavík,Reykjavik,Yes
1932,KR Reykjavík,Reykjavik,Yes
1931,KR Reykjavík,Reykjavik,Yes
1930,Valur Reykjavík,Reykjavik,Yes
1929,KR Reykjavík,Reykjavik,Yes
1928,KR Reykjavík,Reykjavik,Yes
1927,KR Reykjavík,Reykjavik,Yes
1926,KR Reykjavík,Reykjavik,Yes
1925,Fram Reykjavík,Reykjavik,Yes
1924,Víkingur Reykjavík,Reykjavik,Yes
1923,Fram Reykjavík,Reykjavik,Yes
1922,Fram Reykjavík,Reykjavik,Yes
1921,Fram Reykjavík,Reykjavik,Yes
1920,Víkingur Reykjavík,Reykjavik,Yes
1919,KR Reykjavík,Reykjavik,Yes
1918,Fram Reykjavík,Reykjavik,Yes
1917,Fram Reykjavík,Reykjavik,Yes
1916,Fram Reykjavík,Reykjavik,Yes
1915,Fram Reykjavík,Reykjavik,Yes
1914,Fram Reykjavík,Reykjavik,Yes
1913,Fram Reykjavík,Reykjavik,Yes
1912,KR Reykjavík,Reykjavik,Yes
