year,team,city,isCapital
2019,Dundalk FC,Dundalk,No
2018,Dundalk FC,Dundalk,No
2017,Cork City,Cork,No
2016,Dundalk FC,Dundalk,No
2015,Dundalk FC,Dundalk,No
2014,Dundalk FC,Dundalk,No
2013,St Patrick's Athletic,Dublin,Yes
2012,Sligo Rovers,Sligo,No
2011,Shamrock Rovers,Dublin,Yes
2010,Shamrock Rovers,Dublin,Yes
2009,Bohemian FC,Dublin,Yes
2008,Bohemian FC,Dublin,Yes
2007,Drogheda United,Drogheda,No
2006,Shelbourne FC,Dublin,Yes
2005,Cork City,Cork,No
2004,Shelbourne FC,Dublin,Yes
2003,Bohemian FC,Dublin,Yes
2003,Shelbourne FC,Dublin,Yes
2002,Shelbourne FC,Dublin,Yes
2001,Bohemian FC,Dublin,Yes
2000,Shelbourne FC,Dublin,Yes
1999,St Patrick's Athletic,Dublin,Yes
1998,St Patrick's Athletic,Dublin,Yes
1997,Derry City,Derry,No
1996,St Patrick's Athletic,Dublin,Yes
1995,Dundalk FC,Dundalk,No
1994,Shamrock Rovers,Dublin,Yes
1993,Cork City,Cork,No
1992,Shelbourne FC,Dublin,Yes
1991,Dundalk FC,Dundalk,No
1990,St Patrick's Athletic,Dublin,Yes
1989,Derry City,Derry,No
1988,Dundalk FC,Dundalk,No
1987,Shamrock Rovers,Dublin,Yes
1986,Shamrock Rovers,Dublin,Yes
1985,Shamrock Rovers,Dublin,Yes
1984,Shamrock Rovers,Dublin,Yes
1983,Athlone Town,Athlone,No
1982,Dundalk FC,Dundalk,No
1981,Athlone Town,Athlone,No
1980,Limerick United,Limerick,No
1979,Dundalk FC,Dundalk,No
1978,Bohemian FC,Dublin,Yes
1977,Sligo Rovers,Sligo,No
1976,Dundalk FC,Dundalk,No
1975,Bohemian FC,Dublin,Yes
1974,Cork Celtic,Cork,No
1973,Waterford AFC,Waterford,No
1972,Waterford AFC,Waterford,No
1971,Cork Hibernians,Cork,No
1970,Waterford AFC,Waterford,No
1969,Waterford AFC,Waterford,No
1968,Waterford AFC,Waterford,No
1967,Dundalk FC,Dundalk,No
1966,Waterford AFC,Waterford,No
1965,Drumcondra Dublin,Dublin,Yes
1964,Shamrock Rovers,Dublin,Yes
1963,Dundalk FC,Dundalk,No
1962,Shelbourne FC,Dublin,Yes
1961,Drumcondra Dublin,Dublin,Yes
1960,Limerick FC,Limerick,No
1959,Shamrock Rovers,Dublin,Yes
1958,Drumcondra Dublin,Dublin,Yes
1957,Shamrock Rovers,Dublin,Yes
1956,St Patrick's Athletic,Dublin,Yes
1955,St Patrick's Athletic,Dublin,Yes
1954,Shamrock Rovers,Dublin,Yes
1953,Shelbourne FC,Dublin,Yes
1952,St Patrick's Athletic,Dublin,Yes
1951,Cork Athletic,Cork,No
1950,Cork Athletic,Cork,No
1949,Drumcondra Dublin,Dublin,Yes
1948,Drumcondra Dublin,Dublin,Yes
1947,Shelbourne FC,Dublin,Yes
1946,Cork United,Cork,No
1945,Cork United,Cork,No
1944,Shelbourne FC,Dublin,Yes
1943,Cork United,Cork,No
1942,Cork United,Cork,No
1941,Cork United,Cork,No
1940,St. James's Gate,Dublin,Yes
1939,Shamrock Rovers,Dublin,Yes
1938,Shamrock Rovers,Dublin,Yes
1937,Sligo Rovers,Sligo,No
1936,Bohemian FC,Dublin,Yes
1935,Dolphin Dublin,Dublin,Yes
1934,Bohemian FC,Dublin,Yes
1933,Dundalk FC,Dundalk,No
1932,Shamrock Rovers,Dublin,Yes
1931,Shelbourne FC,Dublin,Yes
1930,Bohemian FC,Dublin,Yes
1929,Shelbourne FC,Dublin,Yes
1928,Bohemian FC,Dublin,Yes
1927,Shamrock Rovers,Dublin,Yes
1926,Shelbourne FC,Dublin,Yes
1925,Shamrock Rovers,Dublin,Yes
1924,Bohemian FC,Dublin,Yes
1923,Shamrock Rovers,Dublin,Yes
1922,St. James's Gate,Dublin,Yes
