year,team,city,isCapital
2019,Juventus,Turin,No
2018,Juventus,Turin,No
2017,Juventus,Turin,No
2016,Juventus,Turin,No
2015,Juventus,Turin,No
2014,Juventus,Turin,No
2013,Juventus,Turin,No
2012,Juventus,Turin,No
2011,AC Milan,Milan,No
2010,Inter,Milan,No
2009,Inter,Milan,No
2008,Inter,Milan,No
2007,Inter,Milan,No
2006,Inter,Milan,No
2004,AC Milan,Milan,No
2003,Juventus,Turin,No
2002,Juventus,Turin,No
2001,AS Roma,Rome,Yes
2000,Lazio Roma,Rome,Yes
1999,AC Milan,Milan,No
1998,Juventus,Turin,No
1997,Juventus,Turin,No
1996,AC Milan,Milan,No
1995,Juventus,Turin,No
1994,AC Milan,Milan,No
1993,AC Milan,Milan,No
1992,AC Milan,Milan,No
1991,Sampdoria,Genoa,No
1990,SSC Napoli,Naples,No
1989,Inter,Milan,No
1988,AC Milan,Milan,No
1987,SSC Napoli,Naples,No
1986,Juventus,Turin,No
1985,Hellas Verona,Verona,No
1984,Juventus,Turin,No
1983,AS Roma,Rome,Yes
1982,Juventus,Turin,No
1981,Juventus,Turin,No
1980,Inter,Milan,No
1979,AC Milan,Milan,No
1978,Juventus,Turin,No
1977,Juventus,Turin,No
1976,Torino FC,Turin,No
1975,Juventus,Turin,No
1974,Lazio Roma,Rome,Yes
1973,Juventus,Turin,No
1972,Juventus,Turin,No
1971,Inter,Milan,No
1970,Cagliari Calcio,Cagliari,No
1969,ACF Fiorentina,Florence,No
1968,AC Milan,Milan,No
1967,Juventus,Turin,No
1966,Inter,Milan,No
1965,Inter,Milan,No
1964,Bologna FC,Bologna,No
1963,Inter,Milan,No
1962,AC Milan,Milan,No
1961,Juventus,Turin,No
1960,Juventus,Turin,No
1959,AC Milan,Milan,No
1958,Juventus,Turin,No
1957,AC Milan,Milan,No
1956,ACF Fiorentina,Florence,No
1955,AC Milan,Milan,No
1954,Inter,Milan,No
1953,Inter,Milan,No
1952,Juventus,Turin,No
1951,AC Milan,Milan,No
1950,Juventus,Turin,No
1949,Torino FC,Turin,No
1948,Torino FC,Turin,No
1947,Torino FC,Turin,No
1946,Torino FC,Turin,No
1944,Spezia Calcio 1906,La Spezia,No
1943,Torino FC,Turin,No
1942,AS Roma,Rome,Yes
1941,Bologna FC,Bologna,No
1940,Inter,Milan,No
1939,Bologna FC,Bologna,No
1938,Inter,Milan,No
1937,Bologna FC,Bologna,No
1936,Bologna FC,Bologna,No
1935,Juventus,Turin,No
1934,Juventus,Turin,No
1933,Juventus,Turin,No
1932,Juventus,Turin,No
1931,Juventus,Turin,No
1930,Inter,Milan,No
1929,Bologna FC,Bologna,No
1928,Torino FC,Turin,No
1927,Torino FC,Turin,No
1926,Juventus,Turin,No
1925,Bologna FC,Bologna,No
1924,Genoa Cricket & Football Club,Genoa,No
1923,Genoa Cricket & Football Club,Genoa,No
1922,Pro Vercelli,Vercelli,No
1921,US Novese,Novi Ligure,No
1920,Pro Vercelli,Vercelli,No
1919,Inter,Milan,No
1915,Genoa Cricket & Football Club,Genoa,No
1914,Casale,Casale monferreto,No
1913,Pro Vercelli,Vercelli,No
1912,Pro Vercelli,Vercelli,No
1911,Pro Vercelli,Vercelli,No
1910,Inter,Milan,No
1909,Pro Vercelli,Vercelli,No
1908,Pro Vercelli,Vercelli,No
1907,AC Milan,Milan,No
1906,AC Milan,Milan,No
1905,Juventus,Turin,No
1904,Genoa Cricket & Football Club,Genoa,No
1903,Genoa Cricket & Football Club,Genoa,No
1902,Genoa Cricket & Football Club,Genoa,No
1901,AC Milan,Milan,No
1900,Genoa Cricket & Football Club,Genoa,No
1899,Genoa Cricket & Football Club,Genoa,No
1898,Genoa Cricket & Athletic Club,Genoa,No
