year,team,city,isCapital
2019,KF Feronikeli,Glogovac,No
2018,Drita Gjilan,Gjilan,No
2017,KF Trepça'89,Mitrovica,No
2016,KF Feronikeli,Glogovac,No
2015,KF Feronikeli,Glogovac,No
2014,Llamkos Kosova,Vucitrn,No
2013,Prishtina KF,Pristina,Yes
2012,Prishtina KF,Pristina,Yes
2011,KF Hysi,Podujevo,No
2010,KF Trepça,Mitrovica,No
2009,Prishtina KF,Pristina,Yes
2008,Prishtina KF,Pristina,Yes
2007,Besa Pejë,Pec,No
2006,Besa Pejë,Pec,No
2005,Besa Pejë,Pec,No
2004,Prishtina KF,Pristina,Yes
2003,Drita Gjilan,Gjilan,No
2002,Besiana Podujevë,Podujevo,No
2001,Prishtina KF,Pristina,Yes
2000,Prishtina KF,Pristina,Yes
