year,team,city,isCapital
2018,Riga FC,Riga,Yes
2017,FK Spartaks,Sloka,No
2016,FK Spartaks,Sloka,No
2015,FK Liepāja,Liepaja,No
2014,FK Ventspils,Ventspils,No
2013,FK Ventspils,Ventspils,No
2012,FC Daugava,Daugavpils,No
2011,FK Ventspils,Ventspils,No
2010,Skonto FC,Riga,Yes
2009,FK Liepājas Metalurgs,Liepaja,No
2008,FK Ventspils,Ventspils,No
2007,FK Ventspils,Ventspils,No
2006,FK Ventspils,Ventspils,No
2005,FK Liepājas Metalurgs,Liepaja,No
2004,Skonto FC,Riga,Yes
2003,Skonto FC,Riga,Yes
2002,Skonto FC,Riga,Yes
2001,Skonto FC,Riga,Yes
2000,Skonto FC,Riga,Yes
1999,Skonto FC,Riga,Yes
1998,Skonto FC,Riga,Yes
1997,Skonto FC,Riga,Yes
1996,Skonto FC,Riga,Yes
1995,Skonto FC,Riga,Yes
1994,Skonto FC,Riga,Yes
1993,Skonto FC,Riga,Yes
1992,Skonto FC,Riga,Yes
1991,Forums-Skonto Riga,Riga,Yes
1990,Gauja Valmiera,Valmiera,No
1989,RAF Jelgava,Jelgava,No
1988,RAF Jelgava,Jelgava,No
1987,Torpedo Riga,Riga,Yes
1986,Torpedo Riga,Riga,Yes
1985,FK Alfa,Riga,Yes
1984,Torpedo Riga,Riga,Yes
1983,VEF Riga,Riga,Yes
1982,Elektrons Rīga,Riga,Yes
1981,Elektrons Rīga,Riga,Yes
1980,Kimiks Daugavpils,Daugavpils,No
1979,Elektrons Rīga,Riga,Yes
1978,Kimiks Daugavpils,Daugavpils,No
1977,Energija Riga,Riga,Yes
1976,Energija Riga,Riga,Yes
1975,VEF Riga,Riga,Yes
1974,VEF Riga,Riga,Yes
1973,VEF Riga,Riga,Yes
1972,Jūrnieks Riga,Riga,Yes
1971,VEF Riga,Riga,Yes
1970,VEF Riga,Riga,Yes
1969,Venta Ventspils,Ventspils,No
1968,Starts Brocēni,Saldus,No
1967,Energija Riga,Riga,Yes
1966,Energija Riga,Riga,Yes
1965,ASK Riga,Riga,Yes
1964,ASK Riga,Riga,Yes
1963,ASK Riga,Riga,Yes
1962,ASK Riga,Riga,Yes
1961,ASK Riga,Riga,Yes
1960,ASK Riga,Riga,Yes
1959,RER Riga,Riga,Yes
1958,SM Liepaja,Liepāja,No
1957,SM Liepaja,Liepāja,No
1956,SM Liepaja,Liepāja,No
1955,Darba Rezerves Riga,Riga,Yes
1954,SM Liepaja,Liepāja,No
1953,SM Liepaja,Liepāja,No
1952,Armijas Virsnieku Nams Rīga,Riga,Yes
1951,SM Liepaja,Liepāja,No
1950,Armijas Virsnieku Nams Rīga,Riga,Yes
1949,SM Liepaja,Liepāja,No
1948,SA Riga,Riga,Yes
1947,SM Liepaja,Liepāja,No
1946,SM Liepaja,Liepāja,No
1945,Dinamo Riga,Riga,Yes
1944,Atletiskais SK Rīga,Riga,Yes
1943,Atletiskais SK Rīga,Riga,Yes
1940,Riga FK,Riga,Yes
1939,Olimpija Liepaja,Liepāja,No
1938,Olimpija Liepaja,Liepāja,No
1936,Olimpija Liepaja,Liepāja,No
1935,Riga FK,Riga,Yes
1934,Riga FK,Riga,Yes
1933,Olimpija Liepaja,Liepāja,No
1932,Atletiskais SK Rīga,Riga,Yes
1931,Riga FK,Riga,Yes
1930,Riga FK,Riga,Yes
1929,Olimpija Liepaja,Liepāja,No
1928,Olimpija Liepaja,Liepāja,No
1927,Olimpija Liepaja,Liepāja,No
1926,Riga FK,Riga,Yes
1925,Riga FK,Riga,Yes
1924,Riga FK,Riga,Yes
1923,Kaiserwald Riga,Riga,Yes
1922,Kaiserwald Riga,Riga,Yes
1921,ASK Riga,Riga,Yes
1915,British FC Riga,Riga,Yes
1914,British FC Riga,Riga,Yes
1913,Kaiserwald Riga,Riga,Yes
1912,Union Riga,Riga,Yes
1911,British FC Riga,Riga,Yes
1910,Union Riga,Riga,Yes
