year,team,city,isCapital
2018,FK Sūduva,Marijampole,No
2017,FK Sūduva,Marijampole,No
2016,FK Žalgiris,Vilnius,Yes
2015,FK Žalgiris,Vilnius,Yes
2014,VMFD Žalgiris,Vilnius,Yes
2013,FK Ekranas,Panevezys,No
2012,FK Ekranas,Panevezys,No
2011,FK Ekranas,Panevezys,No
2010,FK Ekranas,Panevezys,No
2009,FK Ekranas,Panevezys,No
2008,FK Ekranas,Panevezys,No
2007,FBK Kaunas,Kaunas,No
2006,FBK Kaunas,Kaunas,No
2005,FK Ekranas,Panevezys,No
2004,FBK Kaunas,Kaunas,No
2003,FBK Kaunas,Kaunas,No
2002,FBK Kaunas,Kaunas,No
2001,FBK Kaunas,Kaunas,No
2000,FBK Kaunas,Kaunas,No
1999,FK Zalgiris,Vilnius,Yes
1998,FK Kareda Siauliai,Kaunas,No
1997,FK Kareda Siauliai,Kaunas,No
1996,Inkaras Kaunas,Kaunas,No
1995,Inkaras Kaunas,Kaunas,No
1994,Romar Mažeikiai,Mažeikiai,No
1993,FK Ekranas,Panevezys,No
1992,FK Zalgiris Vilnius,Vilnius,Yes
1991,FK Zalgiris Vilnius,Vilnius,Yes
1990,Sirijus Klaipeda,Klaipeda,No
1989,Banga Kaunas,Kaunas,No
1988,SRT Vilnius,Vilnius,Yes
1987,FK Tauras Tauragė,Tauragė,No
1986,Banga Kaunas,Kaunas,No
1985,FK Ekranas,Panevezys,No
1984,FK Granitas Klaipeda,Klaipeda,No
1983,Pazanga Vilnius,Vilnius,Yes
1982,Pazanga Vilnius,Vilnius,Yes
1981,FK Granitas Klaipeda,Klaipeda,No
1980,FK Granitas Klaipeda,Klaipeda,No
1979,Atmosfera Mažeikiai,Mažeikiai,No
1978,FK Granitas Klaipeda,Klaipeda,No
1977,Statybininkas Šiauliai,Šiauliai,No
1976,Atmosfera Mažeikiai,Mažeikiai,No
1975,Dainava Alytus,Alytus,No
1974,Tauras Šiauliai,Šiauliai,No
1973,FK Nevėžis,Kėdainiai,No
1972,FK Nevėžis,Kėdainiai,No
1971,Pazanga Vilnius,Vilnius,Yes
1970,Atletas Kaunas,Kaunas,No
1969,Statybininkas Šiauliai,Šiauliai,No
1968,Statyba Panevezys,Panevėžys,No
1967,Saliutas Vilnius,Vilnius,Yes
1966,FK Nevėžis,Kėdainiai,No
1965,Inkaras Kaunas,Kaunas,No
1964,Inkaras Kaunas,Kaunas,No
1963,Statyba Panevezys,Panevėžys,No
1962,Atletas Kaunas,Kaunas,No
1961,Elnias Siauliai,Šiauliai,No
1960,Elnias Siauliai,Šiauliai,No
1959,Raudonoji Zvaigzde,Vilnius,Yes
1958,Elnias Siauliai,Šiauliai,No
1957,Elnias Siauliai,Šiauliai,No
1956,Linų Audiniai Plungė,Plungė,No
1955,Lima Kaunas,Kaunas,No
1954,Inkaras Kaunas,Kaunas,No
1953,Elnias Siauliai,Šiauliai,No
1952,Karininkų Namai Vilnius,Vilnius,Yes
1951,Inkaras Kaunas,Kaunas,No
1950,Inkaras Kaunas,Kaunas,No
1949,Elnias Siauliai,Šiauliai,No
1948,Elnias Siauliai,Šiauliai,No
1947,Lokomotyvas Kaunas,Kaunas,No
1946,Dinamo Kaunas,Kaunas,No
1945,Spartakas Kaunas,Kaunas,No
1944,Tauras Kaunas,Kaunas,No
1943,Tauras Kaunas,Kaunas,No
1942,LFLS Kauen,Kaunas,No
1939,LGSF Kauen,Kaunas,No
1938,KSS Klaipėda,Klaipeda,No
1937,KSS Klaipėda,Klaipeda,No
1936,SC Kovas Kauen,Kaunas,No
1935,SC Kovas Kauen,Kaunas,No
1934,Maisto SK Kauen,Kaunas,No
1933,SC Kovas Kauen,Kaunas,No
1932,KSS Klaipėda,Klaipeda,No
1931,KSS Klaipėda,Klaipeda,No
1930,KSS Klaipėda,Klaipeda,No
1929,KSS Klaipėda,Klaipeda,No
1928,KSS Klaipėda,Klaipeda,No
1927,LF Lavinimosi,Kaunas,No
1926,SC Kovas Kauen,Kaunas,No
1925,SC Kovas Kauen,Kaunas,No
1924,SC Kovas Kauen,Kaunas,No
1923,LFLS Kauen,Kaunas,No
