year,team,city,isCapital
2019,F91 Dudelange,Dudelange,No
2018,F91 Dudelange,Dudelange,No
2017,F91 Dudelange,Dudelange,No
2016,F91 Dudelange,Dudelange,No
2015,CS FOLA Esch,Esch-sur-alzette,No
2014,F91 Dudelange,Dudelange,No
2013,CS FOLA Esch,Esch-sur-alzette,No
2012,F91 Dudelange,Dudelange,No
2011,F91 Dudelange,Dudelange,No
2010,Jeunesse Esch,Esch-sur-alzette,No
2009,F91 Dudelange,Dudelange,No
2008,F91 Dudelange,Dudelange,No
2007,F91 Dudelange,Dudelange,No
2006,F91 Dudelange,Dudelange,No
2005,F91 Dudelange,Dudelange,No
2004,Jeunesse Esch,Esch-sur-alzette,No
2003,CS Grevenmacher,Grevenmacher,No
2002,F91 Dudelange,Dudelange,No
2001,F91 Dudelange,Dudelange,No
2000,F91 Dudelange,Dudelange,No
1999,Jeunesse Esch,Esch-sur-alzette,No
1998,Jeunesse Esch,Esch-sur-alzette,No
1997,Jeunesse Esch,Esch-sur-alzette,No
1996,Jeunesse Esch,Esch-sur-alzette,No
1995,Jeunesse Esch,Esch-sur-alzette,No
1994,Avenir Beggen,Luxembourg City,Yes
1993,Avenir Beggen,Luxembourg City,Yes
1992,Union Luxembourg,Luxembourg City,Yes
1991,Union Luxembourg,Luxembourg City,Yes
1990,Union Luxembourg,Luxembourg City,Yes
1989,Spora Luxemburg,Luxembourg City,Yes
1988,Jeunesse Esch,Esch-sur-alzette,No
1987,Jeunesse Esch,Esch-sur-alzette,No
1986,Avenir Beggen,Luxembourg City,Yes
1985,Jeunesse Esch,Esch-sur-alzette,No
1984,Avenir Beggen,Luxembourg City,Yes
1983,Jeunesse Esch,Esch-sur-alzette,No
1982,Avenir Beggen,Luxembourg City,Yes
1981,Progrès Niedercorn,Niederkorn,No
1980,Jeunesse Esch,Esch-sur-alzette,No
1979,Red Boys Differdange,Differdange,No
1978,Progrès Niedercorn,Niederkorn,No
1977,Jeunesse Esch,Esch-sur-alzette,No
1976,Jeunesse Esch,Esch-sur-alzette,No
1975,Jeunesse Esch,Esch-sur-alzette,No
1974,Jeunesse Esch,Esch-sur-alzette,No
1973,Jeunesse Esch,Esch-sur-alzette,No
1972,Aris Bonnevoie,Luxembourg City,Yes
1971,Union Luxembourg,Luxembourg City,Yes
1970,Jeunesse Esch,Esch-sur-alzette,No
1969,Avenir Beggen,Luxembourg City,Yes
1968,Jeunesse Esch,Esch-sur-alzette,No
1967,Jeunesse Esch,Esch-sur-alzette,No
1966,Aris Bonnevoie,Luxembourg City,Yes
1965,Stade Dudelange,Dudelange,No
1964,Aris Bonnevoie,Luxembourg City,Yes
1963,Jeunesse Esch,Esch-sur-alzette,No
1962,Union Luxembourg,Luxembourg City,Yes
1961,Spora Luxemburg,Luxembourg City,Yes
1960,Jeunesse Esch,Esch-sur-alzette,No
1959,Jeunesse Esch,Esch-sur-alzette,No
1958,Jeunesse Esch,Esch-sur-alzette,No
1957,Stade Dudelange,Dudelange,No
1956,Spora Luxemburg,Luxembourg City,Yes
1955,Stade Dudelange,Dudelange,No
1954,Jeunesse Esch,Esch-sur-alzette,No
1953,Progrès Niedercorn,Niederkorn,No
1952,The National Schifflange,Schifflingen,No
1951,Jeunesse Esch,Esch-sur-alzette,No
1950,Stade Dudelange,Dudelange,No
1949,Spora Luxemburg,Luxembourg City,Yes
1948,Stade Dudelange,Dudelange,No
1947,Stade Dudelange,Dudelange,No
1946,Stade Dudelange,Dudelange,No
1945,Stade Dudelange,Dudelange,No
1940,Stade Dudelange,Dudelange,No
1939,Stade Dudelange,Dudelange,No
1938,Spora Luxemburg,Luxembourg City,Yes
1937,Jeunesse Esch,Esch-sur-alzette,No
1936,Spora Luxemburg,Luxembourg City,Yes
1935,Spora Luxemburg,Luxembourg City,Yes
1934,Spora Luxemburg,Luxembourg City,Yes
1933,Red Boys Differdange,Differdange,No
1932,Red Boys Differdange,Differdange,No
1931,Red Boys Differdange,Differdange,No
1930,CS FOLA Esch,Esch-sur-alzette,No
1929,Spora Luxemburg,Luxembourg City,Yes
1928,Spora Luxemburg,Luxembourg City,Yes
1927,Union Luxembourg,Luxembourg City,Yes
1926,Red Boys Differdange,Differdange,No
1925,Spora Luxemburg,Luxembourg City,Yes
1924,CS FOLA Esch,Esch-sur-alzette,No
1923,Red Boys Differdange,Differdange,No
1922,CS FOLA Esch,Esch-sur-alzette,No
1921,Jeunesse Esch,Esch-sur-alzette,No
1920,CS FOLA Esch,Esch-sur-alzette,No
1919,SC Luxembourg,Luxembourg City,Yes
1918,CS FOLA Esch,Esch-sur-alzette,No
1917,Union Luxembourg,Luxembourg City,Yes
1916,Union Luxembourg,Luxembourg City,Yes
1915,Union Luxembourg,Luxembourg City,Yes
1914,Union Luxembourg,Luxembourg City,Yes
1912,Union Luxembourg,Luxembourg City,Yes
1911,SC Luxembourg,Luxembourg City,Yes
1910,RFCU Luxemburg,Luxembourg City,Yes
