year,team,city,isCapital
2019,KF Shkëndija 79,Tetovo,No
2018,KF Shkëndija 79,Tetovo,No
2017,Vardar Skopje,Skopje,Yes
2016,Vardar Skopje,Skopje,Yes
2015,Vardar Skopje,Skopje,Yes
2014,FK Rabotnički,Skopje,Yes
2013,Vardar Skopje,Skopje,Yes
2012,Vardar Skopje,Skopje,Yes
2011,KF Shkëndija 79,Tetovo,No
2010,FK Renova,Tetovo,No
2009,Makedonija GP,Skopje,Yes
2008,FK Rabotnički,Skopje,Yes
2007,FK Pobeda,Prilep,No
2006,FK Rabotnički,Skopje,Yes
2005,FK Rabotnički,Skopje,Yes
2004,FK Pobeda,Prilep,No
2003,Vardar Skopje,Skopje,Yes
2002,Vardar Skopje,Skopje,Yes
2001,FK Sloga Jugomagnat,Skopje,Yes
2000,FK Sloga Jugomagnat,Skopje,Yes
1999,FK Sloga Jugomagnat,Skopje,Yes
1998,Sileks Kratovo,Kratovo,No
1997,Sileks Kratovo,Kratovo,No
1996,Sileks Kratovo,Kratovo,No
1995,Vardar Skopje,Skopje,Yes
1994,Vardar Skopje,Skopje,Yes
1993,Vardar Skopje,Skopje,Yes
