year,team,city,isCapital
2019,Valletta FC,Valletta,Yes
2018,Valletta FC,Valletta,Yes
2017,Hibernians FC,Paola,No
2016,Valletta FC,Valletta,Yes
2015,Hibernians FC,Paola,No
2014,Valletta FC,Valletta,Yes
2013,Birkirkara FC,Birkirkara,No
2012,Valletta FC,Valletta,Yes
2011,Valletta FC,Valletta,Yes
2010,Birkirkara FC,Birkirkara,No
2009,Hibernians FC,Paola,No
2008,Valletta FC,Valletta,Yes
2007,Marsaxlokk FC,Marsaxlokk,No
2006,Birkirkara FC,Birkirkara,No
2005,Sliema Wanderers,Sliema,No
2004,Sliema Wanderers,Sliema,No
2003,Sliema Wanderers,Sliema,No
2002,Hibernians FC,Paola,No
2001,Valletta FC,Valletta,Yes
2000,Birkirkara FC,Birkirkara,No
1999,Valletta FC,Valletta,Yes
1998,Valletta FC,Valletta,Yes
1997,Valletta FC,Valletta,Yes
1996,Sliema Wanderers,Sliema,No
1995,Hibernians FC,Paola,No
1994,Hibernians FC,Paola,No
1993,Floriana FC,Floriana,No
1992,Valletta FC,Valletta,Yes
1991,Hamrun Spartans,Hamrun,No
1990,Valletta FC,Valletta,Yes
1989,Sliema Wanderers,Sliema,No
1988,Hamrun Spartans,Hamrun,No
1987,Hamrun Spartans,Hamrun,No
1986,Rabat Ajax,Rabat,No
1985,Rabat Ajax,Rabat,No
1984,Valletta FC,Valletta,Yes
1983,Hamrun Spartans,Hamrun,No
1982,Hibernians FC,Paola,No
1981,Hibernians FC,Paola,No
1980,Valletta FC,Valletta,Yes
1979,Hibernians FC,Paola,No
1978,Valletta FC,Valletta,Yes
1977,Floriana FC,Floriana,No
1976,Sliema Wanderers,Sliema,No
1975,Floriana FC,Floriana,No
1974,Valletta FC,Valletta,Yes
1973,Floriana FC,Floriana,No
1972,Sliema Wanderers,Sliema,No
1971,Sliema Wanderers,Sliema,No
1970,Floriana FC,Floriana,No
1969,Hibernians FC,Paola,No
1968,Floriana FC,Floriana,No
1967,Hibernians FC,Paola,No
1966,Sliema Wanderers,Sliema,No
1965,Sliema Wanderers,Sliema,No
1964,Sliema Wanderers,Sliema,No
1963,Valletta FC,Valletta,Yes
1962,Floriana FC,Floriana,No
1961,Hibernians FC,Paola,No
1960,Valletta FC,Valletta,Yes
1959,Valletta FC,Valletta,Yes
1958,Floriana FC,Floriana,No
1957,Sliema Wanderers,Sliema,No
1956,Sliema Wanderers,Sliema,No
1955,Floriana FC,Floriana,No
1954,Sliema Wanderers,Sliema,No
1953,Floriana FC,Floriana,No
1952,Floriana FC,Floriana,No
1951,Floriana FC,Floriana,No
1950,Floriana FC,Floriana,No
1949,Sliema Wanderers,Sliema,No
1948,Valletta FC,Valletta,Yes
1947,Hamrun Spartans,Hamrun,No
1946,Valletta FC,Valletta,Yes
1945,Valletta FC,Valletta,Yes
1940,Sliema Wanderers,Sliema,No
1939,Sliema Wanderers,Sliema,No
1938,Sliema Wanderers,Sliema,No
1937,Floriana FC,Floriana,No
1936,Sliema Wanderers,Sliema,No
1935,Floriana FC,Floriana,No
1934,Sliema Wanderers,Sliema,No
1933,Sliema Wanderers,Sliema,No
1932,Valletta FC,Valletta,Yes
1931,Floriana FC,Floriana,No
1930,Sliema Wanderers,Sliema,No
1929,Floriana FC,Floriana,No
1928,Floriana FC,Floriana,No
1927,Floriana FC,Floriana,No
1926,Sliema Wanderers,Sliema,No
1925,Floriana FC,Floriana,No
1924,Sliema Wanderers,Sliema,No
1923,Sliema Wanderers,Sliema,No
1922,Floriana FC,Floriana,No
1921,Floriana FC,Floriana,No
1920,Sliema Wanderers,Sliema,No
1919,KOMR Milizia,Valletta,Yes
1918,Hamrun Spartans,Hamrun,No
1917,St. George's FC,Malta,No
1915,Valletta FC,Valletta,Yes
1914,Hamrun Spartans,Hamrun,No
1913,Floriana FC,Floriana,No
1912,Floriana FC,Floriana,No
1910,Floriana FC,Floriana,No
