year,team,city,isCapital
2019,FC Sheriff,Tiraspol,No
2018,FC Sheriff,Tiraspol,No
2017,FC Sheriff,Tiraspol,No
2016,FC Sheriff,Tiraspol,No
2015,FC Milsami,Orhei,No
2014,FC Sheriff,Tiraspol,No
2013,FC Sheriff,Tiraspol,No
2012,FC Sheriff,Tiraspol,No
2011,Dacia Chişinău,Chişinău,Yes
2010,FC Sheriff,Tiraspol,No
2009,FC Sheriff,Tiraspol,No
2008,FC Sheriff,Tiraspol,No
2007,FC Sheriff,Tiraspol,No
2006,FC Sheriff,Tiraspol,No
2005,FC Sheriff,Tiraspol,No
2004,FC Sheriff,Tiraspol,No
2003,FC Sheriff,Tiraspol,No
2002,FC Sheriff,Tiraspol,No
2001,FC Sheriff,Tiraspol,No
2000,FC Zimbru,Chisinau,No
1999,FC Zimbru,Chisinau,No
1998,FC Zimbru,Chisinau,No
1997,Constructorul Chişinău,Chişinău,Yes
1996,FC Zimbru,Chisinau,No
1995,FC Zimbru,Chisinau,No
1994,FC Zimbru,Chisinau,No
1993,FC Zimbru,Chisinau,No
1992,FC Zimbru,Chisinau,No
