year,team,city,isCapital
2019,Ajax,Amsterdam,Yes
2018,PSV Eindhoven,Eindhoven,No
2017,Feyenoord,Rotterdam,No
2016,PSV Eindhoven,Eindhoven,No
2015,PSV Eindhoven,Eindhoven,No
2014,AFC Ajax,Amsterdam,Yes
2013,AFC Ajax,Amsterdam,Yes
2012,AFC Ajax,Amsterdam,Yes
2011,AFC Ajax,Amsterdam,Yes
2010,FC Twente,Enschede,No
2009,AZ Alkmaar,Alkmaar,No
2008,PSV Eindhoven,Eindhoven,No
2007,PSV Eindhoven,Eindhoven,No
2006,PSV Eindhoven,Eindhoven,No
2005,PSV Eindhoven,Eindhoven,No
2004,AFC Ajax,Amsterdam,Yes
2003,PSV Eindhoven,Eindhoven,No
2002,AFC Ajax,Amsterdam,Yes
2001,PSV Eindhoven,Eindhoven,No
2000,PSV Eindhoven,Eindhoven,No
1999,Feyenoord,Rotterdam,No
1998,AFC Ajax,Amsterdam,Yes
1997,PSV Eindhoven,Eindhoven,No
1996,AFC Ajax,Amsterdam,Yes
1995,AFC Ajax,Amsterdam,Yes
1994,AFC Ajax,Amsterdam,Yes
1993,Feyenoord,Rotterdam,No
1992,PSV Eindhoven,Eindhoven,No
1991,PSV Eindhoven,Eindhoven,No
1990,AFC Ajax,Amsterdam,Yes
1989,PSV Eindhoven,Eindhoven,No
1988,PSV Eindhoven,Eindhoven,No
1987,PSV Eindhoven,Eindhoven,No
1986,PSV Eindhoven,Eindhoven,No
1985,AFC Ajax,Amsterdam,Yes
1984,Feyenoord,Rotterdam,No
1983,AFC Ajax,Amsterdam,Yes
1982,AFC Ajax,Amsterdam,Yes
1981,AZ '67 Alkmaar,Alkmaar,No
1980,AFC Ajax,Amsterdam,Yes
1979,AFC Ajax,Amsterdam,Yes
1978,PSV Eindhoven,Eindhoven,No
1977,AFC Ajax,Amsterdam,Yes
1976,PSV Eindhoven,Eindhoven,No
1975,PSV Eindhoven,Eindhoven,No
1974,Feyenoord,Rotterdam,No
1973,AFC Ajax,Amsterdam,Yes
1972,AFC Ajax,Amsterdam,Yes
1971,Feijenoord,Rotterdam,No
1970,AFC Ajax,Amsterdam,Yes
1969,Feijenoord,Rotterdam,No
1968,AFC Ajax,Amsterdam,Yes
1967,AFC Ajax,Amsterdam,Yes
1966,AFC Ajax,Amsterdam,Yes
1965,Feijenoord,Rotterdam,No
1964,DWS Amsterdam,Amsterdam,Yes
1963,PSV Eindhoven,Eindhoven,No
1962,Feijenoord,Rotterdam,No
1961,Feijenoord,Rotterdam,No
1960,AFC Ajax,Amsterdam,Yes
1959,Sparta Rotterdam,Rotterdam,No
1958,DOS Utrecht,Utrecht,No
1957,AFC Ajax,Amsterdam,Yes
1956,Rapid JC Heerlen,Heerlen,No
1955,Willem II,Tilburg,No
1954,SC Eindhoven,Eindhoven,No
1953,Racing Club Heemstede,Heemstede,No
1952,Willem II,Tilburg,No
1951,PSV Eindhoven,Eindhoven,No
1950,SV Limburgia,Brunssum,No
1949,SVV Schiedam,Schiedam,No
1948,BVV, Barendrecht,No
1947,AFC Ajax,Amsterdam,Yes
1946,HFC Haarlem,Haarlem,No
1944,De Volewijckers,Amsterdam,Yes
1943,ADO Den Haag,The Hague,No
1942,ADO Den Haag,The Hague,No
1941,Heracles Almelo,Almelo,No
1940,Feijenoord,Rotterdam,No
1939,AFC Ajax,Amsterdam,Yes
1938,Feijenoord,Rotterdam,No
1937,AFC Ajax,Amsterdam,Yes
1936,Feijenoord,Rotterdam,No
1935,PSV Eindhoven,Eindhoven,No
1934,AFC Ajax,Amsterdam,Yes
1933,Go Ahead Eagles,Deventer,No
1932,AFC Ajax,Amsterdam,Yes
1931,AFC Ajax,Amsterdam,Yes
1930,Go Ahead Eagles,Deventer,No
1929,PSV Eindhoven,Eindhoven,No
1928,Feijenoord,Rotterdam,No
1927,Heracles Almelo,Almelo,No
1926,Sportclub Enschede,Enschede,No
1925,HBS-Craeyenhout,The Hague,No
1924,Feijenoord,Rotterdam,No
1923,RC Haarlem,Haarlem,No
1922,Go Ahead Eagles,Deventer,No
1921,NAC Breda,Breda,No
1920,Be Quick 1887,Groningen,No
1919,AFC Ajax,Amsterdam,Yes
1918,AFC Ajax,Amsterdam,Yes
1917,Go Ahead Eagles,Deventer,No
1916,Willem II,Tilburg,No
1915,Sparta Rotterdam,Rotterdam,No
1914,HVV Den Haag,The hague,No
1913,Sparta Rotterdam,Rotterdam,No
1912,Sparta Rotterdam,Rotterdam,No
1911,Sparta Rotterdam,Rotterdam,No
1910,HVV Den Haag,The hague,No
1909,Sparta Rotterdam,Rotterdam,No
1908,H.V. Quick,The hague,No
1907,HVV Den Haag,The hague,No
1906,HBS-Craeyenhout,The Hague,No
1905,HVV Den Haag,The hague,No
1904,HBS-Craeyenhout,The Hague,No
1903,HVV Den Haag,The hague,No
1902,HVV Den Haag,The hague,No
1901,HVV Den Haag,The hague,No
1900,HVV Den Haag,The hague,No
1899,RAP Amsterdam,Amsterdam,Yes
1898,RAP Amsterdam,Amsterdam,Yes
1897,HVV Den Haag,The hague,No
1892,RAP Amsterdam,Amsterdam,Yes
1891,HVV Den Haag,The hague,No
