year,team,city,isCapital
2019,Linfield FC,Belfast,Yes
2018,Crusaders FC,Belfast,Yes
2017,Linfield FC,Belfast,Yes
2016,Crusaders FC,Belfast,Yes
2015,Crusaders FC,Belfast,Yes
2014,Cliftonville FC,Belfast,Yes
2013,Cliftonville FC,Belfast,Yes
2012,Linfield FC,Belfast,Yes
2011,Linfield FC,Belfast,Yes
2010,Linfield FC,Belfast,Yes
2009,Glentoran Belfast,Belfast,Yes
2008,Linfield FC,Belfast,Yes
2007,Linfield FC,Belfast,Yes
2006,Linfield FC,Belfast,Yes
2005,Glentoran Belfast,Belfast,Yes
2004,Linfield FC,Belfast,Yes
2003,Glentoran Belfast,Belfast,Yes
2002,Portadown FC,Portadown,No
2001,Linfield FC,Belfast,Yes
2000,Linfield FC,Belfast,Yes
1999,Glentoran Belfast,Belfast,Yes
1998,Cliftonville FC,Belfast,Yes
1997,Crusaders FC,Belfast,Yes
1996,Portadown FC,Portadown,No
1995,Crusaders FC,Belfast,Yes
1994,Linfield FC,Belfast,Yes
1993,Linfield FC,Belfast,Yes
1992,Glentoran Belfast,Belfast,Yes
1991,Portadown FC,Portadown,No
1990,Portadown FC,Portadown,No
1989,Linfield FC,Belfast,Yes
1988,Glentoran Belfast,Belfast,Yes
1987,Linfield FC,Belfast,Yes
1986,Linfield FC,Belfast,Yes
1985,Linfield FC,Belfast,Yes
1984,Linfield FC,Belfast,Yes
1983,Linfield FC,Belfast,Yes
1982,Linfield FC,Belfast,Yes
1981,Glentoran Belfast,Belfast,Yes
1980,Linfield FC,Belfast,Yes
1979,Linfield FC,Belfast,Yes
1978,Linfield FC,Belfast,Yes
1977,Glentoran Belfast,Belfast,Yes
1976,Crusaders FC,Belfast,Yes
1975,Linfield FC,Belfast,Yes
1974,Coleraine FC,Coleraine,No
1973,Crusaders FC,Belfast,Yes
1972,Glentoran Belfast,Belfast,Yes
1971,Linfield FC,Belfast,Yes
1970,Glentoran Belfast,Belfast,Yes
1969,Linfield FC,Belfast,Yes
1968,Glentoran Belfast,Belfast,Yes
1967,Glentoran Belfast,Belfast,Yes
1966,Linfield FC,Belfast,Yes
1965,Derry City,Derry,No
1964,Glentoran Belfast,Belfast,Yes
1963,Lisburn Distillery,Belfast,Yes
1962,Linfield FC,Belfast,Yes
1961,Linfield FC,Belfast,Yes
1960,Glenavon FC,Lurgan,No
1959,Linfield FC,Belfast,Yes
1958,Ards FC,Bangor,No
1957,Glenavon FC,Lurgan,No
1956,Linfield FC,Belfast,Yes
1955,Linfield FC,Belfast,Yes
1954,Linfield FC,Belfast,Yes
1953,Glentoran Belfast,Belfast,Yes
1952,Glenavon FC,Lurgan,No
1951,Glentoran Belfast,Belfast,Yes
1950,Linfield FC,Belfast,Yes
1949,Linfield FC,Belfast,Yes
1948,Belfast Celtic,Belfast,Yes
1947,Belfast Celtic,Belfast,Yes
1939,Belfast Celtic,Belfast,Yes
1938,Belfast Celtic,Belfast,Yes
1937,Belfast Celtic,Belfast,Yes
1936,Belfast Celtic,Belfast,Yes
1935,Linfield FC,Belfast,Yes
1934,Linfield FC,Belfast,Yes
1933,Belfast Celtic,Belfast,Yes
1932,Linfield FC,Belfast,Yes
1931,Glentoran Belfast,Belfast,Yes
1930,Linfield FC,Belfast,Yes
1929,Belfast Celtic,Belfast,Yes
1928,Belfast Celtic,Belfast,Yes
1927,Belfast Celtic,Belfast,Yes
1926,Belfast Celtic,Belfast,Yes
1925,Glentoran Belfast,Belfast,Yes
1924,Queen's Island FC, Belfast,Yes
1923,Linfield FC,Belfast,Yes
1922,Linfield FC,Belfast,Yes
1921,Glentoran Belfast,Belfast,Yes
1920,Belfast Celtic,Belfast,Yes
1915,Belfast Celtic,Belfast,Yes
1914,Linfield FC,Belfast,Yes
1913,Glentoran Belfast,Belfast,Yes
1912,Glentoran Belfast,Belfast,Yes
1911,Linfield FC,Belfast,Yes
1910,Cliftonville FC,Belfast,Yes
1909,Linfield FC,Belfast,Yes
1908,Linfield FC,Belfast,Yes
1907,Linfield FC,Belfast,Yes
1906,Cliftonville FC,Belfast,Yes
1905,Lisburn Distillery,Belfast,Yes
1904,Glentoran Belfast,Belfast,Yes
1903,Linfield FC,Belfast,Yes
1902,Lisburn Distillery,Belfast,Yes
1901,Linfield FC,Belfast,Yes
1900,Lisburn Distillery,Belfast,Yes
1899,Belfast Celtic,Belfast,Yes
1898,Lisburn Distillery,Belfast,Yes
1897,Linfield FC,Belfast,Yes
1896,Glentoran Belfast,Belfast,Yes
1895,Lisburn Distillery,Belfast,Yes
1894,Linfield FC,Belfast,Yes
1893,Glentoran Belfast,Belfast,Yes
1892,Linfield FC,Belfast,Yes
1891,Linfield FC,Belfast,Yes
1890,Linfield FC,Belfast,Yes
1889,Lisburn Distillery,Belfast,Yes
