year,team,city,isCapital
2018,Rosenborg BK,Trondheim,No
2017,Rosenborg BK,Trondheim,No
2016,Rosenborg BK,Trondheim,No
2015,Rosenborg BK,Trondheim,No
2014,Molde FK,Molde,No
2013,Strømsgodset IF,Gulskogen,No
2012,Molde FK,Molde,No
2011,Molde FK,Molde,No
2010,Rosenborg BK,Trondheim,No
2009,Rosenborg BK,Trondheim,No
2008,Stabæk IF,Stabekk,No
2007,SK Brann,Bergen,No
2006,Rosenborg BK,Trondheim,No
2005,Vålerenga IF,Oslo,Yes
2004,Rosenborg BK,Trondheim,No
2003,Rosenborg BK,Trondheim,No
2002,Rosenborg BK,Trondheim,No
2001,Rosenborg BK,Trondheim,No
2000,Rosenborg BK,Trondheim,No
1999,Rosenborg BK,Trondheim,No
1998,Rosenborg BK,Trondheim,No
1997,Rosenborg BK,Trondheim,No
1996,Rosenborg BK,Trondheim,No
1995,Rosenborg BK,Trondheim,No
1994,Rosenborg BK,Trondheim,No
1993,Rosenborg BK,Trondheim,No
1992,Rosenborg BK,Trondheim,No
1991,Viking FK,Stavanger,No
1990,Rosenborg BK,Trondheim,No
1989,Lillestrøm SK,Lillestrøm,No
1988,Rosenborg BK,Trondheim,No
1987,Moss FK,Moss,No
1986,Lillestrøm SK,Lillestrøm,No
1985,Rosenborg BK,Trondheim,No
1984,Vålerenga IF,Oslo,Yes
1983,Vålerenga IF,Oslo,Yes
1982,Viking FK,Stavanger,No
1981,Vålerenga IF,Oslo,Yes
1980,IK Start,Kristiansand,No
1979,Viking FK,Stavanger,No
1978,IK Start,Kristiansand,No
1977,Lillestrøm SK,Lillestrøm,No
1976,Lillestrøm SK,Lillestrøm,No
1975,Viking FK,Stavanger,No
1974,Viking FK,Stavanger,No
1973,Viking FK,Stavanger,No
1972,Viking FK,Stavanger,No
1971,Rosenborg BK,Trondheim,No
1970,Strømsgodset IF,Gulskogen,No
1969,Rosenborg BK,Trondheim,No
1968,Lyn Oslo,Oslo,Yes
1967,Rosenborg BK,Trondheim,No
1966,Skeid Oslo,Oslo,Yes
1965,Vålerenga IF,Oslo,Yes
1964,Lyn Oslo,Oslo,Yes
1963,SK Brann,Bergen,No
1962,SK Brann,Bergen,No
1961,Fredrikstad FK,Fredrikstad,No
1960,Fredrikstad FK,Fredrikstad,No
1959,Lillestrøm SK,Lillestrøm,No
1958,Viking FK,Stavanger,No
1957,Fredrikstad FK,Fredrikstad,No
1956,Larvik Turn og IF,Larvik,No
1955,Larvik Turn og IF,Larvik,No
1954,Fredrikstad FK,Fredrikstad,No
1953,Larvik Turn og IF,Larvik,No
1952,Fredrikstad FK,Fredrikstad,No
1951,Fredrikstad FK,Fredrikstad,No
1950,Fram Larvik,Larvik,No
1949,Fredrikstad FK,Fredrikstad,No
1948,SK Freidig,Trondheim,No
1939,Fredrikstad FK,Fredrikstad,No
1938,Fredrikstad FK,Fredrikstad,No
