year,team,city,isCapital
2019,Lechia Gdańsk,Gdańsk,No
2018,Legia Warszawa,Warsaw,Yes
2017,Legia Warszawa,Warsaw,Yes
2016,Legia Warszawa,Warsaw,Yes
2015,Lech Poznań,Poznan,No
2014,Legia Warszawa,Warsaw,Yes
2013,Legia Warszawa,Warsaw,Yes
2012,Śląsk Wrocław,Wroclaw,No
2011,Wisła Kraków,Krakow,No
2010,Lech Poznań,Poznan,No
2009,Wisła Kraków,Krakow,No
2008,Wisła Kraków,Krakow,No
2007,Zagłębie Lubin,Lubin,No
2006,Legia Warszawa,Warsaw,Yes
2005,Wisła Kraków,Krakow,No
2004,Wisła Kraków,Krakow,No
2003,Wisła Kraków,Krakow,No
2002,Legia Warszawa,Warsaw,Yes
2001,Wisła Kraków,Krakow,No
2000,Polonia Warszawa,Warsaw,Yes
1999,Wisła Kraków,Krakow,No
1998,ŁKS Łódź,Lodz,No
1997,Widzew Łódź,Łódź,No
1996,Widzew Łódź,Łódź,No
1995,Legia Warszawa,Warsaw,Yes
1994,Legia Warszawa,Warsaw,Yes
1993,Lech Poznań,Poznan,No
1992,Lech Poznań,Poznan,No
1991,Zagłębie Lubin,Lubin,No
1990,Lech Poznań,Poznan,No
1989,Ruch Chorzów,Chorzów,No
1988,Górnik Zabrze,Zabrze,No
1987,Górnik Zabrze,Zabrze,No
1986,Górnik Zabrze,Zabrze,No
1985,Górnik Zabrze,Zabrze,No
1984,Lech Poznań,Poznan,No
1983,Lech Poznań,Poznan,No
1982,Widzew Łódź,Łódź,No
1981,Widzew Łódź,Łódź,No
1980,Szombierki Bytom,Bytom,No
1979,Ruch Chorzów,Chorzów,No
1978,Wisła Kraków,Krakow,No
1977,Śląsk Wrocław,Wroclaw,No
1976,Stal Mielec,Mielec,No
1975,Ruch Chorzów,Chorzów,No
1974,Ruch Chorzów,Chorzów,No
1973,Stal Mielec,Mielec,No
1972,Górnik Zabrze,Zabrze,No
1971,Górnik Zabrze,Zabrze,No
1970,Legia Warszawa,Warsaw,Yes
1969,Legia Warszawa,Warsaw,Yes
1968,Ruch Chorzów,Chorzów,No
1967,Górnik Zabrze,Zabrze,No
1966,Górnik Zabrze,Zabrze,No
1965,Górnik Zabrze,Zabrze,No
1964,Górnik Zabrze,Zabrze,No
1963,Górnik Zabrze,Zabrze,No
1962,Polonia Bytom,Bytom,No
1961,Górnik Zabrze,Zabrze,No
1960,Ruch Chorzów,Chorzów,No
1959,Górnik Zabrze,Zabrze,No
1958,ŁKS Łódź,Lodz,No
1957,Górnik Zabrze,Zabrze,No
1956,Legia Warszawa,Warsaw,Yes
1955,Legia Warszawa,Warsaw,Yes
1954,Polonia Bytom,Bytom,No
1953,ZS Unia Chorzow,Chorzow,No
1952,ZS Unia Chorzow,Chorzow,No
1951,ZS Unia Chorzow,Chorzow,No
1950,Wisła Kraków,Krakow,No
1949,Wisła Kraków,Krakow,No
1948,Zwiazkowy Klub Sportowy Cracovia,Krakow,No
1947,Warta Poznań,Poznań,No
1946,Polonia Warszawa,Warsaw,Yes
1938,Ruch Wielkie Hajduki,Chorzów,No
1937,Klub Sportowy Cracovia,Kraków,No
1936,Ruch Wielkie Hajduki,Chorzów,No
1935,Ruch Wielkie Hajduki,Chorzów,No
1934,Ruch Wielkie Hajduki,Chorzów,No
1933,Ruch Wielkie Hajduki,Chorzów,No
1932,Klub Sportowy Cracovia,Kraków,No
1931,Garbarnia Krakow,Krakow,No
1930,Klub Sportowy Cracovia,Kraków,No
1929,Warta Poznań,Poznań,No
1928,Wisła Kraków,Krakow,No
1927,Wisła Kraków,Krakow,No
1926,Pogoń Lwów,Lviv,No
1925,Pogoń Lwów,Lviv,No
1923,Pogoń Lwów,Lviv,No
1922,Pogoń Lwów,Lviv,No
1921,Klub Sportowy Cracovia,Kraków,No
