year,team,city,isCapital
2019,SL Benfica,Lisbon,Yes
2018,FC Porto,Porto,No
2017,SL Benfica,Lisbon,Yes
2016,SL Benfica,Lisbon,Yes
2015,SL Benfica,Lisbon,Yes
2014,SL Benfica,Lisbon,Yes
2013,FC Porto,Porto,No
2012,FC Porto,Porto,No
2011,FC Porto,Porto,No
2010,SL Benfica,Lisbon,Yes
2009,FC Porto,Porto,No
2008,FC Porto,Porto,No
2007,FC Porto,Porto,No
2006,FC Porto,Porto,No
2005,SL Benfica,Lisbon,Yes
2004,FC Porto,Porto,No
2003,FC Porto,Porto,No
2002,Sporting CP,Lisbon,Yes
2001,Boavista,Porto,No
2000,Sporting CP,Lisbon,Yes
1999,FC Porto,Porto,No
1998,FC Porto,Porto,No
1997,FC Porto,Porto,No
1996,FC Porto,Porto,No
1995,FC Porto,Porto,No
1994,SL Benfica,Lisbon,Yes
1993,FC Porto,Porto,No
1992,FC Porto,Porto,No
1991,SL Benfica,Lisbon,Yes
1990,FC Porto,Porto,No
1989,SL Benfica,Lisbon,Yes
1988,FC Porto,Porto,No
1987,SL Benfica,Lisbon,Yes
1986,FC Porto,Porto,No
1985,FC Porto,Porto,No
1984,SL Benfica,Lisbon,Yes
1983,SL Benfica,Lisbon,Yes
1982,Sporting CP,Lisbon,Yes
1981,SL Benfica,Lisbon,Yes
1980,Sporting CP,Lisbon,Yes
1979,FC Porto,Porto,No
1978,FC Porto,Porto,No
1977,SL Benfica,Lisbon,Yes
1976,SL Benfica,Lisbon,Yes
1975,SL Benfica,Lisbon,Yes
1974,Sporting CP,Lisbon,Yes
1973,SL Benfica,Lisbon,Yes
1972,SL Benfica,Lisbon,Yes
1971,SL Benfica,Lisbon,Yes
1970,Sporting CP,Lisbon,Yes
1969,SL Benfica,Lisbon,Yes
1968,SL Benfica,Lisbon,Yes
1967,SL Benfica,Lisbon,Yes
1966,Sporting CP,Lisbon,Yes
1965,SL Benfica,Lisbon,Yes
1964,SL Benfica,Lisbon,Yes
1963,SL Benfica,Lisbon,Yes
1962,Sporting CP,Lisbon,Yes
1961,SL Benfica,Lisbon,Yes
1960,SL Benfica,Lisbon,Yes
1959,FC Porto,Porto,No
1958,Sporting CP,Lisbon,Yes
1957,SL Benfica,Lisbon,Yes
1956,FC Porto,Porto,No
1955,SL Benfica,Lisbon,Yes
1954,Sporting CP,Lisbon,Yes
1953,Sporting CP,Lisbon,Yes
1952,Sporting CP,Lisbon,Yes
1951,Sporting CP,Lisbon,Yes
1950,SL Benfica,Lisbon,Yes
1949,Sporting CP,Lisbon,Yes
1948,Sporting CP,Lisbon,Yes
1947,Sporting CP,Lisbon,Yes
1946,Os Belenenses,Lisbon,Yes
1945,SL Benfica,Lisbon,Yes
1944,Sporting CP,Lisbon,Yes
1943,SL Benfica,Lisbon,Yes
1942,SL Benfica,Lisbon,Yes
1941,Sporting CP,Lisbon,Yes
1940,FC Porto,Porto,No
1939,FC Porto,Porto,No
1938,SL Benfica,Lisbon,Yes
1937,SL Benfica,Lisbon,Yes
1936,SL Benfica,Lisbon,Yes
1935,FC Porto,Porto,No
