year,team,city,isCapital
2019,CFR Cluj,Cluj-napoca,No
2018,CFR Cluj,Cluj-napoca,No
2017,FC Viitorul Constanța,Ovidiu,No
2016,Astra Giurgiu,Giurgiu,No
2015,Steaua Bucureşti,Bucharest,Yes
2014,Steaua Bucureşti,Bucharest,Yes
2013,Steaua Bucureşti,Bucharest,Yes
2012,CFR Cluj,Cluj-napoca,No
2011,Oţelul Galaţi,Galati,No
2010,CFR Cluj,Cluj-napoca,No
2009,FC Unirea,Urziceni,No
2008,CFR Cluj,Cluj-napoca,No
2007,Dinamo Bucureşti,Bucharest,Yes
2006,Steaua Bucureşti,Bucharest,Yes
2005,Steaua Bucureşti,Bucharest,Yes
2004,Dinamo Bucureşti,Bucharest,Yes
2003,Rapid Bucureşti,Bucharest,Yes
2002,Dinamo Bucureşti,Bucharest,Yes
2001,Steaua Bucureşti,Bucharest,Yes
2000,Dinamo Bucureşti,Bucharest,Yes
1999,Rapid Bucureşti,Bucharest,Yes
1998,Steaua Bucureşti,Bucharest,Yes
1997,Steaua Bucureşti,Bucharest,Yes
1996,Steaua Bucureşti,Bucharest,Yes
1995,Steaua Bucureşti,Bucharest,Yes
1994,Steaua Bucureşti,Bucharest,Yes
1993,Steaua Bucureşti,Bucharest,Yes
1992,Dinamo Bucureşti,Bucharest,Yes
1991,FC Universitatea Craiova,Craiova,No
1990,Dinamo Bucureşti,Bucharest,Yes
1989,Steaua Bucureşti,Bucharest,Yes
1988,Steaua Bucureşti,Bucharest,Yes
1987,Steaua Bucureşti,Bucharest,Yes
1986,Steaua Bucureşti,Bucharest,Yes
1985,Steaua Bucureşti,Bucharest,Yes
1984,Dinamo Bucureşti,Bucharest,Yes
1983,Dinamo Bucureşti,Bucharest,Yes
1982,Dinamo Bucureşti,Bucharest,Yes
1981,FC Universitatea Craiova,Craiova,No
1980,FC Universitatea Craiova,Craiova,No
1979,Argeș Pitești,Pitești,No
1978,Steaua Bucureşti,Bucharest,Yes
1977,Dinamo Bucureşti,Bucharest,Yes
1976,Steaua Bucureşti,Bucharest,Yes
1975,Dinamo Bucureşti,Bucharest,Yes
1974,FC Universitatea Craiova,Craiova,No
1973,Dinamo Bucureşti,Bucharest,Yes
1972,Argeș Pitești,Pitești,No
1971,Dinamo Bucureşti,Bucharest,Yes
1970,UT Arad,Arad,No
1969,UT Arad,Arad,No
1968,Steaua Bucureşti,Bucharest,Yes
1967,Rapid Bucureşti,Bucharest,Yes
1966,Petrolul Ploieşti,Ploiești,No
1965,Dinamo Bucureşti,Bucharest,Yes
1964,Dinamo Bucureşti,Bucharest,Yes
1963,Dinamo Bucureşti,Bucharest,Yes
1962,Dinamo Bucureşti,Bucharest,Yes
1961,CCA Bucureşti,Bucharest,Yes
1960,CCA Bucureşti,Bucharest,Yes
1959,Petrolul Ploieşti,Ploiești,No
1958,Petrolul Ploieşti,Ploiești,No
1956,CCA Bucureşti,Bucharest,Yes
1955,Dinamo Bucureşti,Bucharest,Yes
1954,Flamura Roşie UT Arad,Arad,No
1953,CCA Bucureşti,Bucharest,Yes
1952,CCA Bucureşti,Bucharest,Yes
1951,CCA Bucureşti,Bucharest,Yes
1950,IT Arad,Arad,No
1949,IC Oradea,Oradea,No
1948,IT Arad,Arad,No
1947,IT Arad,Arad,No
1943,FC Universitatea Craiova,Craiova,No
1942,Rapid Bucureşti,Bucharest,Yes
1941,Unirea Tricolor,Bucharest,Yes
1940,Venus Bucuresti,Bucharest,Yes
1939,Venus Bucuresti,Bucharest,Yes
1938,Ripensia Timisoara,Timișoara,No
1937,Venus Bucuresti,Bucharest,Yes
1936,Ripensia Timisoara,Timișoara,No
1935,Ripensia Timisoara,Timișoara,No
1934,Venus Bucuresti,Bucharest,Yes
1933,Ripensia Timisoara,Timișoara,No
1932,Venus Bucuresti,Bucharest,Yes
1931,UDR Resita,Resita,No
1930,Juventus București,Bucharest,Yes
1929,Venus Bucuresti,Bucharest,Yes
1928,Coltea Brasov,Brașov,No
1927,Chinezul Timisoara,Timișoara,No
1926,Chinezul Timisoara,Timișoara,No
1925,Chinezul Timisoara,Timișoara,No
1924,Chinezul Timisoara,Timișoara,No
1923,Chinezul Timisoara,Timișoara,No
1922,Chinezul Timisoara,Timișoara,No
1921,Venus Bucuresti,Bucharest,Yes
1920,Venus Bucuresti,Bucharest,Yes
1916,Prahova Ploiesti,Ploiesti,No
1915,Româno-Americana Bucuresti,Bucharest,Yes
1914,Colentina Bucuresti,Bucharest,Yes
1913,Colentina Bucuresti,Bucharest,Yes
1912,United A.C. Ploiesti,Ploiești,No
1911,Olimpia Bucuresti,Bucharest,Yes
1910,Olimpia Bucuresti,Bucharest,Yes
