year,team,city,isCapital
2019,Zenit St. Petersburg,St. petersburg,No
2018,Lokomotiv Moskva,Moscow,Yes
2017,Spartak Moskva,Moscow,Yes
2016,CSKA Moskva,Moscow,Yes
2015,Zenit St. Petersburg,St. petersburg,No
2014,CSKA Moskva,Moscow,Yes
2013,CSKA Moskva,Moscow,Yes
2012,Zenit St. Petersburg,St. petersburg,No
2010,Zenit St. Petersburg,St. petersburg,No
2009,Rubin Kazan,Kazan,No
2008,Rubin Kazan,Kazan,No
2007,Zenit St. Petersburg,St. petersburg,No
2006,CSKA Moskva,Moscow,Yes
2005,CSKA Moskva,Moscow,Yes
2004,Lokomotiv Moskva,Moscow,Yes
2003,CSKA Moskva,Moscow,Yes
2002,Lokomotiv Moskva,Moscow,Yes
2001,Spartak Moskva,Moscow,Yes
2000,Spartak Moskva,Moscow,Yes
1999,Spartak Moskva,Moscow,Yes
1998,Spartak Moskva,Moscow,Yes
1997,Spartak Moskva,Moscow,Yes
1996,Spartak Moskva,Moscow,Yes
1995,Spartak-Alania,Vladikavkaz,No
1994,Spartak Moskva,Moscow,Yes
1993,Spartak Moskva,Moscow,Yes
1992,Spartak Moskva,Moscow,Yes
