year,team,city,isCapital
2019,Celtic FC,Glasgow,No
2018,Celtic FC,Glasgow,No
2017,Celtic FC,Glasgow,No
2016,Celtic FC,Glasgow,No
2015,Celtic FC,Glasgow,No
2014,Celtic FC,Glasgow,No
2013,Celtic FC,Glasgow,No
2012,Celtic FC,Glasgow,No
2011,Rangers FC,Glasgow,No
2010,Rangers FC,Glasgow,No
2009,Rangers FC,Glasgow,No
2008,Celtic FC,Glasgow,No
2007,Celtic FC,Glasgow,No
2006,Celtic FC,Glasgow,No
2005,Rangers FC,Glasgow,No
2004,Celtic FC,Glasgow,No
2003,Rangers FC,Glasgow,No
2002,Celtic FC,Glasgow,No
2001,Celtic FC,Glasgow,No
2000,Rangers FC,Glasgow,No
1999,Rangers FC,Glasgow,No
1998,Celtic FC,Glasgow,No
1997,Rangers FC,Glasgow,No
1996,Rangers FC,Glasgow,No
1995,Rangers FC,Glasgow,No
1994,Rangers FC,Glasgow,No
1993,Rangers FC,Glasgow,No
1992,Rangers FC,Glasgow,No
1991,Rangers FC,Glasgow,No
1990,Rangers FC,Glasgow,No
1989,Rangers FC,Glasgow,No
1988,Celtic FC,Glasgow,No
1987,Rangers FC,Glasgow,No
1986,Celtic FC,Glasgow,No
1985,Aberdeen FC,Aberdeen,No
1984,Aberdeen FC,Aberdeen,No
1983,Dundee United, Dundee,No
1982,Celtic FC,Glasgow,No
1981,Celtic FC,Glasgow,No
1980,Aberdeen FC,Aberdeen,No
1979,Celtic FC,Glasgow,No
1978,Rangers FC,Glasgow,No
1977,Celtic FC,Glasgow,No
1976,Rangers FC,Glasgow,No
1975,Rangers FC,Glasgow,No
1974,Celtic FC,Glasgow,No
1973,Celtic FC,Glasgow,No
1972,Celtic FC,Glasgow,No
1971,Celtic FC,Glasgow,No
1970,Celtic FC,Glasgow,No
1969,Celtic FC,Glasgow,No
1968,Celtic FC,Glasgow,No
1967,Celtic FC,Glasgow,No
1966,Celtic FC,Glasgow,No
1965,Kilmarnock FC,Kilmarnock,No
1964,Rangers FC,Glasgow,No
1963,Rangers FC,Glasgow,No
1962,Dundee FC,Dundee,No
1961,Rangers FC,Glasgow,No
1960,Heart of Midlothian,Edinburgh,Yes
1959,Rangers FC,Glasgow,No
1958,Heart of Midlothian,Edinburgh,Yes
1957,Rangers FC,Glasgow,No
1956,Rangers FC,Glasgow,No
1955,Aberdeen FC,Aberdeen,No
1954,Celtic FC,Glasgow,No
1953,Rangers FC,Glasgow,No
1952,Hibernian FC,Edinburgh,Yes
1951,Hibernian FC,Edinburgh,Yes
1950,Rangers FC,Glasgow,No
1949,Rangers FC,Glasgow,No
1948,Hibernian FC,Edinburgh,Yes
1947,Rangers FC,Glasgow,No
1939,Rangers FC,Glasgow,No
1938,Celtic FC,Glasgow,No
1937,Rangers FC,Glasgow,No
1936,Celtic FC,Glasgow,No
1935,Rangers FC,Glasgow,No
1934,Rangers FC,Glasgow,No
1933,Rangers FC,Glasgow,No
1932,Motherwell FC,Motherwell,No
1931,Rangers FC,Glasgow,No
1930,Rangers FC,Glasgow,No
1929,Rangers FC,Glasgow,No
1928,Rangers FC,Glasgow,No
1927,Rangers FC,Glasgow,No
1926,Celtic FC,Glasgow,No
1925,Rangers FC,Glasgow,No
1924,Rangers FC,Glasgow,No
1923,Rangers FC,Glasgow,No
1922,Celtic FC,Glasgow,No
1921,Rangers FC,Glasgow,No
1920,Rangers FC,Glasgow,No
1919,Celtic FC,Glasgow,No
1918,Rangers FC,Glasgow,No
1917,Celtic FC,Glasgow,No
1916,Celtic FC,Glasgow,No
1915,Celtic FC,Glasgow,No
1914,Celtic FC,Glasgow,No
1913,Rangers FC,Glasgow,No
1912,Rangers FC,Glasgow,No
1911,Rangers FC,Glasgow,No
1910,Celtic FC,Glasgow,No
1909,Celtic FC,Glasgow,No
1908,Celtic FC,Glasgow,No
1907,Celtic FC,Glasgow,No
1906,Celtic FC,Glasgow,No
1905,Celtic FC,Glasgow,No
1904,Third Lanark,Glasgow,No
1903,Hibernian FC,Edinburgh,Yes
1902,Rangers FC,Glasgow,No
1901,Rangers FC,Glasgow,No
1900,Rangers FC,Glasgow,No
1899,Rangers FC,Glasgow,No
1898,Celtic FC,Glasgow,No
1897,Heart of Midlothian,Edinburgh,Yes
1896,Celtic FC,Glasgow,No
1895,Heart of Midlothian,Edinburgh,Yes
1894,Celtic FC,Glasgow,No
1893,Celtic FC,Glasgow,No
1892,Dumbarton FC,Dumbarton,No
1891,Dumbarton FC,Dumbarton,No
1891,Rangers FC,Glasgow,No
