year,team,city,isCapital
2019,Crvena Zvezda,Belgrade,Yes
2018,Crvena Zvezda,Belgrade,Yes
2017,Partizan,Belgrade,Yes
2016,Crvena Zvezda,Belgrade,Yes
2015,Partizan,Belgrade,Yes
2014,Crvena Zvezda,Belgrade,Yes
2013,Partizan,Belgrade,Yes
2012,Partizan,Belgrade,Yes
2011,Partizan,Belgrade,Yes
2010,Partizan,Belgrade,Yes
2009,Partizan,Belgrade,Yes
2008,Partizan,Belgrade,Yes
2007,Crvena Zvezda,Belgrade,Yes
2006,Crvena Zvezda,Belgrade,Yes
2005,Partizan,Belgrade,Yes
2004,Crvena Zvezda,Belgrade,Yes
2003,Partizan,Belgrade,Yes
2002,Partizan,Belgrade,Yes
2001,Crvena Zvezda,Belgrade,Yes
2000,Crvena Zvezda,Belgrade,Yes
1999,Partizan,Belgrade,Yes
1998,FK Obilić,Belgrade,Yes
1997,Partizan,Belgrade,Yes
1996,Partizan,Belgrade,Yes
1995,Crvena Zvezda,Belgrade,Yes
1994,Partizan,Belgrade,Yes
1993,Partizan,Belgrade,Yes
