year,team,city,isCapital
2019,Slovan Bratislava,Bratislava,Yes
2018,Spartak Trnava,Trnava,No
2017,MŠK Žilina,Zilina,No
2016,FK AS Trenčín,Trencin,No
2015,FK AS Trenčín,Trencin,No
2014,Slovan Bratislava,Bratislava,Yes
2013,Slovan Bratislava,Bratislava,Yes
2012,MŠK Žilina,Zilina,No
2011,Slovan Bratislava,Bratislava,Yes
2010,MŠK Žilina,Zilina,No
2009,Slovan Bratislava,Bratislava,Yes
2008,Artmedia Petržalka,Bratislava,Yes
2007,MŠK Žilina,Zilina,No
2006,MFK Ružomberok,Ruzomberok,No
2005,Artmedia Petržalka,Bratislava,Yes
2004,MŠK Žilina,Zilina,No
2003,MŠK Žilina,Zilina,No
2002,MŠK Žilina,Zilina,No
2001,Inter Slovnaft Bratislava,Bratislava,Yes
2000,Inter Slovnaft Bratislava,Bratislava,Yes
1999,Slovan Bratislava,Bratislava,Yes
1998,1. FC Košice,Kosice,No
1997,1. FC Košice,Kosice,No
1996,Slovan Bratislava,Bratislava,Yes
1995,Slovan Bratislava,Bratislava,Yes
1994,Slovan Bratislava,Bratislava,Yes
1944,SK Bratislava,,No
1943,OAP Bratislava,,No
1942,SK Bratislava,,No
1941,SK Bratislava,,No
1940,SK Bratislava,,No
1939,AC Považská Bystrica,,No
