year,team,city,isCapital
2019,NK Maribor,Maribor,No
2018,NK Maribor,Maribor,No
2017,NK Maribor,Maribor,No
2016,Olimpija Ljubljana,Ljubljana,Yes
2015,NK Maribor,Maribor,No
2014,NK Maribor,Maribor,No
2013,NK Maribor,Maribor,No
2012,NK Maribor,Maribor,No
2011,NK Maribor,Maribor,No
2010,FC Koper,Koper,No
2009,NK Maribor,Maribor,No
2008,NK Domžale,Domzale,No
2007,NK Domžale,Domzale,No
2006,ND Gorica,Nova gorica,No
2005,ND Gorica,Nova gorica,No
2004,ND Gorica,Nova gorica,No
2003,NK Maribor,Maribor,No
2002,NK Maribor,Maribor,No
2001,NK Maribor,Maribor,No
2000,Maribor Teatanic,Maribor,No
1999,Maribor Teatanic,Maribor,No
1998,Maribor Teatanic,Maribor,No
1997,NK Branik Maribor,Maribor,No
1996,ND HIT Gorica,Gorica,No
1995,Olimpija Ljubljana,Ljubljana,Yes
1994,Olimpija Ljubljana,Ljubljana,Yes
1993,Olimpija Ljubljana,Ljubljana,Yes
1992,Olimpija Ljubljana,Ljubljana,Yes
