year,team,city,isCapital
2019,FC Barcelona,Barcelona,No
2018,FC Barcelona,Barcelona,No
2017,Real Madrid,Madrid,Yes
2016,FC Barcelona,Barcelona,No
2015,FC Barcelona,Barcelona,No
2014,Atlético Madrid,Madrid,Yes
2013,FC Barcelona,Barcelona,No
2012,Real Madrid,Madrid,Yes
2011,FC Barcelona,Barcelona,No
2010,FC Barcelona,Barcelona,No
2009,FC Barcelona,Barcelona,No
2008,Real Madrid,Madrid,Yes
2007,Real Madrid,Madrid,Yes
2006,FC Barcelona,Barcelona,No
2005,FC Barcelona,Barcelona,No
2004,Valencia CF,Valencia,No
2003,Real Madrid,Madrid,Yes
2002,Valencia CF,Valencia,No
2001,Real Madrid,Madrid,Yes
2000,Deportivo La Coruña,A coruna,No
1999,FC Barcelona,Barcelona,No
1998,FC Barcelona,Barcelona,No
1997,Real Madrid,Madrid,Yes
1996,Atlético Madrid,Madrid,Yes
1995,Real Madrid,Madrid,Yes
1994,FC Barcelona,Barcelona,No
1993,FC Barcelona,Barcelona,No
1992,FC Barcelona,Barcelona,No
1991,FC Barcelona,Barcelona,No
1990,Real Madrid,Madrid,Yes
1989,Real Madrid,Madrid,Yes
1988,Real Madrid,Madrid,Yes
1987,Real Madrid,Madrid,Yes
1986,Real Madrid,Madrid,Yes
1985,FC Barcelona,Barcelona,No
1984,Athletic Bilbao,Bilbao,No
1983,Athletic Bilbao,Bilbao,No
1982,Real Sociedad,San Sebastián,No
1981,Real Sociedad,San Sebastián,No
1980,Real Madrid,Madrid,Yes
1979,Real Madrid,Madrid,Yes
1978,Real Madrid,Madrid,Yes
1977,Atlético Madrid,Madrid,Yes
1976,Real Madrid,Madrid,Yes
1975,Real Madrid,Madrid,Yes
1974,FC Barcelona,Barcelona,No
1973,Atlético Madrid,Madrid,Yes
1972,Real Madrid,Madrid,Yes
1971,Valencia CF,Valencia,No
1970,Atlético Madrid,Madrid,Yes
1969,Real Madrid,Madrid,Yes
1968,Real Madrid,Madrid,Yes
1967,Real Madrid,Madrid,Yes
1966,Atlético Madrid,Madrid,Yes
1965,Real Madrid,Madrid,Yes
1964,Real Madrid,Madrid,Yes
1963,Real Madrid,Madrid,Yes
1962,Real Madrid,Madrid,Yes
1961,Real Madrid,Madrid,Yes
1960,FC Barcelona,Barcelona,No
1959,FC Barcelona,Barcelona,No
1958,Real Madrid,Madrid,Yes
1957,Real Madrid,Madrid,Yes
1956,Athletic Bilbao,Bilbao,No
1955,Real Madrid,Madrid,Yes
1954,Real Madrid,Madrid,Yes
1953,FC Barcelona,Barcelona,No
1952,FC Barcelona,Barcelona,No
1951,Atlético Madrid,Madrid,Yes
1950,Atlético Madrid,Madrid,Yes
1949,FC Barcelona,Barcelona,No
1948,FC Barcelona,Barcelona,No
1947,Valencia CF,Valencia,No
1946,Sevilla FC,Seville,No
1945,FC Barcelona,Barcelona,No
1944,Valencia CF,Valencia,No
1943,Athletic Bilbao,Bilbao,No
1942,Valencia CF,Valencia,No
1941,Atlético Aviación,Madrid,Yes
1940,Atlético Aviación,Madrid,Yes
1936,Athletic Bilbao,Bilbao,No
1935,Real Betis,Seville,No
1934,Athletic Bilbao,Bilbao,No
1933,Real Madrid,Madrid,Yes
1932,Real Madrid,Madrid,Yes
1931,Athletic Bilbao,Bilbao,No
1930,Athletic Bilbao,Bilbao,No
1929,FC Barcelona,Barcelona,No
