year,team,city,isCapital
2018,AIK Solna,Stockholm,Yes
2017,Malmö FF,Malmo,No
2016,Malmö FF,Malmo,No
2015,IFK Norrköping,Norrkoping,No
2014,Malmö FF,Malmo,No
2013,Malmö FF,Malmo,No
2012,IF Elfsborg,Boras,No
2011,Helsingborgs IF,Helsingborg,No
2010,Malmö FF,Malmo,No
2009,AIK Solna,Stockholm,Yes
2008,Kalmar FF,Kalmar,No
2007,IFK Göteborg,Gothenburg,No
2006,IF Elfsborg,Boras,No
2005,Djurgårdens IF,Stockholm,Yes
2004,Malmö FF,Malmo,No
2003,Djurgårdens IF,Stockholm,Yes
2002,Djurgårdens IF,Stockholm,Yes
2001,Hammarby IF,Stockholm,Yes
2000,Halmstads BK,Halmstad,No
1999,Helsingborgs IF,Helsingborg,No
1998,AIK Solna,Stockholm,Yes
1997,Halmstads BK,Halmstad,No
1996,IFK Göteborg,Gothenburg,No
1995,IFK Göteborg,Gothenburg,No
1994,IFK Göteborg,Gothenburg,No
1993,IFK Göteborg,Gothenburg,No
1992,AIK Solna,Stockholm,Yes
1991,IFK Göteborg,Gothenburg,No
1990,IFK Göteborg,Gothenburg,No
1989,IFK Norrköping,Norrkoping,No
1988,Malmö FF,Malmo,No
1987,IFK Göteborg,Gothenburg,No
1986,Malmö FF,Malmo,No
1985,Örgryte IS,Gothenburg,No
1984,IFK Göteborg,Gothenburg,No
1983,IFK Göteborg,Gothenburg,No
1982,IFK Göteborg,Gothenburg,No
1981,Östers IF,Vaxjo,No
1980,Östers IF,Vaxjo,No
1979,Halmstads BK,Halmstad,No
1978,Östers IF,Vaxjo,No
1977,Malmö FF,Malmo,No
1976,Halmstads BK,Halmstad,No
1975,Malmö FF,Malmo,No
1974,Malmö FF,Malmo,No
1973,Åtvidabergs FF,Åtvidaberg,No
1972,Åtvidabergs FF,Åtvidaberg,No
1971,Malmö FF,Malmo,No
1970,Malmö FF,Malmo,No
1969,IFK Göteborg,Gothenburg,No
1968,Östers IF,Vaxjo,No
1967,Malmö FF,Malmo,No
1966,Djurgårdens IF,Stockholm,Yes
1965,Malmö FF,Malmo,No
1964,Djurgårdens IF,Stockholm,Yes
1963,IFK Norrköping,Norrkoping,No
1962,IFK Norrköping,Norrkoping,No
1961,IF Elfsborg,Boras,No
1960,IFK Norrköping,Norrkoping,No
1959,Djurgårdens IF,Stockholm,Yes
1958,IFK Göteborg,Gothenburg,No
1957,IFK Norrköping,Norrkoping,No
1956,IFK Norrköping,Norrkoping,No
1955,Djurgårdens IF,Stockholm,Yes
1954,GAIS Göteborg,Gothenburg,No
1953,Malmö FF,Malmo,No
1952,IFK Norrköping,Norrkoping,No
1951,Malmö FF,Malmo,No
1950,Malmö FF,Malmo,No
1949,Malmö FF,Malmo,No
1948,IFK Norrköping,Norrkoping,No
1947,IFK Norrköping,Norrkoping,No
1946,IFK Norrköping,Norrkoping,No
1945,IFK Norrköping,Norrkoping,No
1944,Malmö FF,Malmo,No
1943,IFK Norrköping,Norrkoping,No
1942,IFK Göteborg,Gothenburg,No
1941,Helsingborgs IF,Helsingborg,No
1940,IF Elfsborg,Boras,No
1939,IF Elfsborg,Boras,No
1938,IK Sleipner,Norrköping,No
1937,AIK Solna,Stockholm,Yes
1936,IF Elfsborg,Boras,No
1935,IFK Göteborg,Gothenburg,No
1934,Helsingborgs IF,Helsingborg,No
1933,Helsingborgs IF,Helsingborg,No
1932,AIK Solna,Stockholm,Yes
1931,GAIS Göteborg,Gothenburg,No
1930,Helsingborgs IF,Helsingborg,No
1929,Helsingborgs IF,Helsingborg,No
1928,Örgryte IS,Gothenburg,No
1927,GAIS Göteborg,Gothenburg,No
1926,Örgryte IS,Gothenburg,No
1925,Brynäs IF,Gävle,No
1925,GAIS Göteborg,Gothenburg,No
1924,Fässberg IF,Gothenburg,No
1923,AIK Solna,Stockholm,Yes
1922,GAIS Göteborg,Gothenburg,No
1921,IFK Eskilstuna,Eskilstuna,No
1920,Djurgårdens IF,Stockholm,Yes
1919,GAIS Göteborg,Gothenburg,No
1918,IFK Göteborg,Gothenburg,No
1917,Djurgårdens IF,Stockholm,Yes
1916,AIK Solna,Stockholm,Yes
1915,Djurgårdens IF,Stockholm,Yes
1914,AIK Solna,Stockholm,Yes
1913,Örgryte IS,Gothenburg,No
1912,Djurgårdens IF,Stockholm,Yes
1911,AIK Solna,Stockholm,Yes
1910,IFK Göteborg,Gothenburg,No
1909,Örgryte IS,Gothenburg,No
1908,IFK Göteborg,Gothenburg,No
1907,Örgryte IS,Gothenburg,No
1906,Örgryte IS,Gothenburg,No
1905,Örgryte IS,Gothenburg,No
1904,Örgryte IS,Gothenburg,No
1903,Göteborg IF,Gothenburg,No
1902,Örgryte IS,Gothenburg,No
1901,AIK Solna,Stockholm,Yes
1900,AIK Solna,Stockholm,Yes
1899,Örgryte IS,Gothenburg,No
1898,Örgryte IS,Gothenburg,No
1897,Örgryte IS,Gothenburg,No
1896,Örgryte IS,Gothenburg,No
