year,team,city,isCapital
2019,BSC Young Boys,Bern,Yes
2018,BSC Young Boys,Bern,Yes
2017,FC Basel,Basel,No
2016,FC Basel,Basel,No
2015,FC Basel,Basel,No
2014,FC Basel,Basel,No
2013,FC Basel,Basel,No
2012,FC Basel,Basel,No
2011,FC Basel,Basel,No
2010,FC Basel,Basel,No
2009,FC Zürich,Zurich,No
2008,FC Basel,Basel,No
2007,FC Zürich,Zurich,No
2006,FC Zürich,Zurich,No
2005,FC Basel,Basel,No
2004,FC Basel,Basel,No
2003,Grasshopper Club Zürich,Zurich,No
2002,FC Basel,Basel,No
2001,Grasshopper Club Zürich,Zurich,No
2000,FC St. Gallen,St gallen,No
1999,Servette Genève,Geneva,No
1998,Grasshopper Club Zürich,Zurich,No
1997,FC Sion,Sion,No
1996,Grasshopper Club Zürich,Zurich,No
1995,Grasshopper Club Zürich,Zurich,No
1994,Servette Genève,Geneva,No
1993,FC Aarau,Aarau,No
1992,FC Sion,Sion,No
1991,Grasshopper Club Zürich,Zurich,No
1990,Grasshopper Club Zürich,Zurich,No
1989,FC Luzern,Lucerne,No
1988,Neuchâtel Xamax FC,Neuchâtel,No
1987,Neuchâtel Xamax FC,Neuchâtel,No
1986,BSC Young Boys,Bern,Yes
1985,Servette Genève,Geneva,No
1984,Grasshopper Club Zürich,Zurich,No
1983,Grasshopper Club Zürich,Zurich,No
1982,Grasshopper Club Zürich,Zurich,No
1981,FC Zürich,Zurich,No
1980,FC Basel,Basel,No
1979,Servette Genève,Geneva,No
1978,Grasshopper Club Zürich,Zurich,No
1977,FC Basel,Basel,No
1976,FC Zürich,Zurich,No
1975,FC Zürich,Zurich,No
1974,FC Zürich,Zurich,No
1973,FC Basel,Basel,No
1972,FC Basel,Basel,No
1971,Grasshopper Club Zürich,Zurich,No
1970,FC Basel,Basel,No
1969,FC Basel,Basel,No
1968,FC Zürich,Zurich,No
1967,FC Basel,Basel,No
1966,FC Zürich,Zurich,No
1965,Lausanne Sports,Lausanne,No
1964,FC La Chaux-de-Fonds,La Chaux-de-Fonds,No
1963,FC Zürich,Zurich,No
1962,Servette Genève,Geneva,No
1961,Servette Genève,Geneva,No
1960,BSC Young Boys,Bern,Yes
1959,BSC Young Boys,Bern,Yes
1958,BSC Young Boys,Bern,Yes
1957,BSC Young Boys,Bern,Yes
1956,Grasshopper Club Zürich,Zurich,No
1955,FC La Chaux-de-Fonds,La Chaux-de-Fonds,No
1954,FC La Chaux-de-Fonds,La Chaux-de-Fonds,No
1953,FC Basel,Basel,No
1952,Grasshopper Club Zürich,Zurich,No
1951,Lausanne Sports,Lausanne,No
1950,Servette Genève,Geneva,No
1949,FC Lugano,Lugano,No
1948,AC Bellinzona,Bellinzona,No
1947,FC Biel/Bienne,Biel/Bienne,No
1946,Servette Genève,Geneva,No
1945,Grasshopper Club Zürich,Zurich,No
1944,Lausanne Sports,Lausanne,No
1943,Grasshopper Club Zürich,Zurich,No
1942,Grasshopper Club Zürich,Zurich,No
1941,FC Lugano,Lugano,No
1940,Servette Genève,Geneva,No
1939,Grasshopper Club Zürich,Zurich,No
1938,FC Lugano,Lugano,No
1937,Grasshopper Club Zürich,Zurich,No
1936,Lausanne Sports,Lausanne,No
1935,Lausanne Sports,Lausanne,No
1934,Servette Genève,Geneva,No
1933,Servette Genève,Geneva,No
1932,Lausanne Sports,Lausanne,No
1931,Grasshopper Club Zürich,Zurich,No
1930,Servette Genève,Geneva,No
1929,BSC Young Boys,Bern,Yes
1928,Grasshopper Club Zürich,Zurich,No
1927,Grasshopper Club Zürich,Zurich,No
1926,Servette Genève,Geneva,No
1925,Servette Genève,Geneva,No
1924,FC Zürich,Zurich,No
1923,FC Bern,Bern,Yes
1922,Servette Genève,Geneva,No
1921,Grasshopper Club Zürich,Zurich,No
1920,BSC Young Boys,Bern,Yes
1919,FC Etoile-Sporting,La Chaux-de-Fonds,No
1918,Servette Genève,Geneva,No
1917,Vereinigter FC Winterthur-Veltheim,Winterthur,No
1916,FC Xamax,Neuchâtel,No
1915,SC Brühl,St gallen,No
1914,FC Aarau,Aarau,No
1913,FC Montriond,Lausanne,No
1912,FC Aarau,Aarau,No
1911,BSC Young Boys,Bern,Yes
1910,BSC Young Boys,Bern,Yes
1909,BSC Young Boys,Bern,Yes
1908,Excelsior Winterthur,Winterthur,No
1907,Servette Genève,Geneva,No
1906,Excelsior Winterthur,Winterthur,No
1905,Grasshopper Club Zürich,Zurich,No
1904,FC St. Gallen,St gallen,No
1903,BSC Young Boys,Bern,Yes
1902,FC Zürich,Zurich,No
1901,Grasshopper Club Zürich,Zurich,No
1900,Grasshopper Club Zürich,Zurich,No
1899,Anglo-American Club Zürich,Zurich,No
1898,Grasshopper Club Zürich,Zurich,No
