year,team,city,isCapital
2019,Galatasaray,Istanbul,No
2018,Galatasaray,Istanbul,No
2017,Beşiktaş,Istanbul,No
2016,Beşiktaş,Istanbul,No
2015,Galatasaray,Istanbul,No
2014,Fenerbahçe,Istanbul,No
2013,Galatasaray,Istanbul,No
2012,Galatasaray,Istanbul,No
2011,Fenerbahçe,Istanbul,No
2010,Bursaspor,Bursa,No
2009,Beşiktaş,Istanbul,No
2008,Galatasaray,Istanbul,No
2007,Fenerbahçe,Istanbul,No
2006,Galatasaray,Istanbul,No
2005,Fenerbahçe,Istanbul,No
2004,Fenerbahçe,Istanbul,No
2003,Beşiktaş,Istanbul,No
2002,Galatasaray,Istanbul,No
2001,Fenerbahçe,Istanbul,No
2000,Galatasaray,Istanbul,No
1999,Galatasaray,Istanbul,No
1998,Galatasaray,Istanbul,No
1997,Galatasaray,Istanbul,No
1996,Fenerbahçe,Istanbul,No
1995,Beşiktaş,Istanbul,No
1994,Galatasaray,Istanbul,No
1993,Galatasaray,Istanbul,No
1992,Beşiktaş,Istanbul,No
1991,Beşiktaş,Istanbul,No
1990,Beşiktaş,Istanbul,No
1989,Fenerbahçe,Istanbul,No
1988,Galatasaray,Istanbul,No
1987,Galatasaray,Istanbul,No
1986,Beşiktaş,Istanbul,No
1985,Fenerbahçe,Istanbul,No
1984,Trabzonspor,Trabzon,No
1983,Fenerbahçe,Istanbul,No
1982,Beşiktaş,Istanbul,No
1981,Trabzonspor,Trabzon,No
1980,Trabzonspor,Trabzon,No
1979,Trabzonspor,Trabzon,No
1978,Fenerbahçe,Istanbul,No
1977,Trabzonspor,Trabzon,No
1976,Trabzonspor,Trabzon,No
1975,Fenerbahçe,Istanbul,No
1974,Fenerbahçe,Istanbul,No
1973,Galatasaray,Istanbul,No
1972,Galatasaray,Istanbul,No
1971,Galatasaray,Istanbul,No
1970,Fenerbahçe,Istanbul,No
1969,Galatasaray,Istanbul,No
1968,Fenerbahçe,Istanbul,No
1967,Beşiktaş,Istanbul,No
1966,Beşiktaş,Istanbul,No
1965,Fenerbahçe,Istanbul,No
1964,Fenerbahçe,Istanbul,No
1963,Galatasaray,Istanbul,No
1962,Galatasaray,Istanbul,No
1961,Fenerbahçe,Istanbul,No
1960,Beşiktaş,Istanbul,No
1959,Fenerbahçe,Istanbul,No
1958,Beşiktaş,Istanbul,No
1957,Beşiktaş,Istanbul,No
