year,team,city,isCapital
2019,Shakhtar Donetsk,Donetsk,No
2018,Shakhtar Donetsk,Donetsk,No
2017,Shakhtar Donetsk,Donetsk,No
2016,Dinamo Kiev,Kiev,Yes
2015,Dinamo Kiev,Kiev,Yes
2014,Shakhtar Donetsk,Donetsk,No
2013,Shakhtar Donetsk,Donetsk,No
2012,Shakhtar Donetsk,Donetsk,No
2011,Shakhtar Donetsk,Donetsk,No
2010,Shakhtar Donetsk,Donetsk,No
2009,Dinamo Kiev,Kiev,Yes
2008,Shakhtar Donetsk,Donetsk,No
2007,Dinamo Kiev,Kiev,Yes
2006,Shakhtar Donetsk,Donetsk,No
2005,Shakhtar Donetsk,Donetsk,No
2004,Dinamo Kiev,Kiev,Yes
2003,Dinamo Kiev,Kiev,Yes
2002,Shakhtar Donetsk,Donetsk,No
2001,Dinamo Kiev,Kiev,Yes
2000,Dinamo Kiev,Kiev,Yes
1999,Dinamo Kiev,Kiev,Yes
1998,Dinamo Kiev,Kiev,Yes
1997,Dinamo Kiev,Kiev,Yes
1996,Dinamo Kiev,Kiev,Yes
1995,Dinamo Kiev,Kiev,Yes
1994,Dinamo Kiev,Kiev,Yes
1993,Dinamo Kiev,Kiev,Yes
1992,Tavriya Simferopol,Simferopol,No
