year,team,city,isCapital
2019,The New Saints,Oswestry,No
2018,The New Saints,Oswestry,No
2017,The New Saints,Oswestry,No
2016,The New Saints,Oswestry,No
2015,The New Saints,Oswestry,No
2014,The New Saints,Oswestry,No
2013,The New Saints,Oswestry,No
2012,The New Saints,Oswestry,No
2011,Bangor City,Bangor,No
2010,The New Saints,Oswestry,No
2009,Rhyl FC,Rhyl,No
2008,Llanelli AFC,Llanelli,No
2007,The New Saints,Oswestry,No
2006,TNS Llansantffraid,Oswestry,No
2005,TNS Llansantffraid,Oswestry,No
2004,Rhyl FC,Rhyl,No
2003,Barry Town FC,Barry,No
2002,Barry Town FC,Barry,No
2001,Barry Town FC,Barry,No
2000,TNS Llansantffraid,Oswestry,No
1999,Barry Town FC,Barry,No
1998,Barry Town FC,Barry,No
1997,Barry Town FC,Barry,No
1996,Barry Town FC,Barry,No
1995,Bangor City,Bangor,No
1994,Bangor City,Bangor,No
1993,Cwmbran Town,Cwmbran,No
